sale_id,date,make,model,year,body_style,color,mileage,condition,price,sale_price,customer_id,customer_name,dealer_name,city,state,payment_type,financing_bank
40,2025-03-28,Mazda,CX-5,2023,Convertible,Blue,64133,Good,31634.94,30230.56,CUST0040,Kimberly Mccann,"Barr, Marshall and Decker Auto",Port Nicole,OH,Financing,Citi
41,2025-02-02,Nissan,Altima,2019,Truck,Blue,59575,Fair,47880.9,46448.83,CUST0041,Michael Carter,Wilson-Garcia Auto,New Paul,MI,Cash,Chase
42,2024-08-15,Audi,A4,2020,SUV,Green,53882,Certified Pre-Owned,62868.96,60572.97,CUST0042,Edward Harris,Cruz Inc Auto,North Rebeccatown,AZ,Lease,Citi
43,2025-05-24,Audi,A4,2023,Hatchback,White,36718,Fair,38365.93,37672.51,CUST0043,Jessica Blanchard,Johnson-Casey Auto,Ericview,OH,Lease,Citi
44,2024-05-17,Hyundai,Elantra,2025,Hatchback,Beige,4108,Certified Pre-Owned,38456.56,36559.9,CUST0044,David Steele,Spence and Sons Auto,East Brendan,AZ,Lease,Chase
45,2025-06-23,Subaru,Outback,2021,Hatchback,Black,29756,Excellent,22512.02,22275.13,CUST0045,James Newman,Henderson-Nelson Auto,Boyertown,OH,Lease,Chase
46,2024-01-23,Chevrolet,Silverado,2021,Hatchback,Green,76111,Fair,28616.06,27342.63,CUST0046,Benjamin Williams,Williams Inc Auto,North Markborough,GA,Financing,Chase
47,2024-05-29,Honda,Civic,2018,Convertible,Gray,27367,Excellent,20420.75,19813.95,CUST0047,Brian Long,Snyder-Schneider Auto,New Hailey,OH,Cash,Chase
48,2024-04-16,Mercedes,C-Class,2020,Sedan,Gray,10126,Certified Pre-Owned,79104.13,78350.47,CUST0048,James Mitchell,"Wilson, Russell and Allison Auto",Lake Theresa,GA,Lease,US Bank
49,2024-06-07,Honda,Accord,2024,Sedan,Green,12385,Good,40909.51,40780.4,CUST0049,Seth Taylor,Garcia-Cruz Auto,Meredithton,IL,Cash,Wells Fargo
50,2024-12-24,Ford,Mustang,2019,Sedan,Blue,41475,Certified Pre-Owned,15507.1,15100.32,CUST0050,Gina Zimmerman,Davis PLC Auto,Robertsontown,PA,Lease,US Bank
51,2024-06-13,Toyota,Corolla,2023,Sedan,Black,78383,Fair,64556.64,63277.53,CUST0051,Ashley Payne,Adams PLC Auto,Phillipsbury,CA,Cash,Ally Financial
52,2025-05-23,Mercedes,C-Class,2025,SUV,Green,29600,Fair,66865.11,64300.0,CUST0052,Ashley Robinson MD,Mcgee-Wang Auto,Mirandachester,OH,Lease,Ally Financial
53,2025-06-05,Toyota,RAV4,2025,Truck,Black,31432,Good,66985.36,64435.33,CUST0053,Richard King,"Hayes, Hines and Howard Auto",Brooksview,CA,Cash,Wells Fargo
54,2025-04-26,Tesla,Model 3,2024,Coupe,Red,55499,Certified Pre-Owned,46130.91,44049.98,CUST0054,Nicholas Dunn,Hart Ltd Auto,Rogersside,CA,Cash,US Bank
55,2024-12-03,Hyundai,Tucson,2020,Coupe,Beige,37689,Certified Pre-Owned,77846.02,75379.6,CUST0055,Gary Fleming MD,Williams-Stone Auto,New Craigland,TX,Lease,US Bank
56,2025-01-14,Hyundai,Tucson,2018,SUV,Silver,16843,Fair,38868.55,37091.19,CUST0056,Veronica Kennedy,Nelson-Shelton Auto,Davidstad,PA,Lease,LightStream
57,2024-03-01,Volkswagen,Jetta,2023,Convertible,Beige,68503,Fair,25608.95,25589.78,CUST0057,Abigail Kane,Lamb-Walker Auto,Port Jessebury,AZ,Lease,Bank of America
58,2024-12-17,BMW,X5,2021,Sedan,Black,8741,Fair,21411.19,21379.93,CUST0058,Desiree Vargas,"Bullock, Dixon and Nelson Auto",Grahamtown,IL,Cash,US Bank
59,2025-04-20,Honda,Civic,2020,Truck,Blue,54587,Fair,34029.57,33699.43,CUST0059,Taylor Brown,"Reynolds, West and Miller Auto",Cynthiafort,PA,Cash,Bank of America
60,2025-03-03,Nissan,Rogue,2021,Hatchback,Blue,12112,Certified Pre-Owned,43838.49,43669.91,CUST0060,Wesley Brock,"Thompson, Johnson and Lloyd Auto",Dicksonberg,AZ,Cash,Capital One
61,2024-06-25,BMW,X5,2023,Convertible,Red,62336,Excellent,35167.25,35068.66,CUST0061,Alexis Nunez,"West, Young and Schultz Auto",South Morganside,CA,Cash,US Bank
62,2024-06-09,Toyota,Camry,2019,Coupe,Black,60490,Certified Pre-Owned,57219.39,56633.02,CUST0062,Joseph Middleton,Singh-Williams Auto,Lake Robertside,CA,Financing,Bank of America
63,2024-08-25,Ford,Mustang,2018,SUV,Gray,11858,Certified Pre-Owned,22368.09,22001.37,CUST0063,Joseph Washington,"Day, Jennings and Brown Auto",East Chad,MI,Lease,Bank of America
64,2025-01-19,Mercedes,E-Class,2020,Coupe,Green,46878,Fair,16924.87,16285.44,CUST0064,Holly Clark,"Larsen, Hernandez and Lewis Auto",Blairfurt,GA,Financing,Chase
65,2024-01-26,Toyota,Camry,2019,Truck,Silver,52272,Fair,52032.86,51163.14,CUST0065,Chelsea Anderson,Lopez Group Auto,North Erikabury,CA,Lease,LightStream
66,2024-01-06,Hyundai,Elantra,2020,Truck,Gray,35551,Certified Pre-Owned,70367.03,67112.98,CUST0066,Scott Anderson,Sexton-Dixon Auto,Lake Loganborough,FL,Financing,Bank of America
67,2025-03-07,Tesla,Model Y,2019,Truck,Green,57212,Fair,31476.13,31473.87,CUST0067,Mary Bryant,Pena PLC Auto,Shepherdside,FL,Financing,Wells Fargo
68,2025-02-12,Honda,Accord,2021,Truck,Silver,9605,Certified Pre-Owned,76901.57,73296.61,CUST0068,Christopher Erickson,"Hancock, Martin and Boyd Auto",East Tanyastad,TX,Financing,US Bank
69,2024-04-12,BMW,X5,2018,Sedan,Red,19504,Fair,29580.53,29294.63,CUST0069,Jennifer Williams,Myers PLC Auto,Allenhaven,NY,Financing,Capital One
70,2024-06-19,BMW,X5,2023,Truck,Green,33701,Certified Pre-Owned,24546.05,24356.43,CUST0070,Adam Brown,Harmon-Murphy Auto,North Thomasside,OH,Cash,Citi
71,2025-04-17,Honda,Civic,2024,Sedan,Green,4421,Fair,63884.1,61553.41,CUST0071,Richard Mejia,Marks-Garcia Auto,South Nicole,OH,Lease,US Bank
72,2024-02-10,Honda,Civic,2019,SUV,Blue,55743,Excellent,59916.97,57559.82,CUST0072,Michele Arnold,"Hill, Mcbride and Boyle Auto",Thompsonfort,NY,Lease,Bank of America
73,2024-12-13,Mazda,CX-5,2018,Hatchback,Beige,70192,Excellent,76521.14,74773.86,CUST0073,Carrie Roberts,"Solomon, Padilla and Graham Auto",North Patrick,GA,Lease,Ally Financial
74,2024-03-25,Mercedes,E-Class,2024,Sedan,Blue,13956,Good,18478.35,18069.45,CUST0074,Kelsey Mcdowell,"Barber, Torres and Lewis Auto",Wigginsview,OH,Lease,US Bank
75,2025-01-28,Nissan,Altima,2022,SUV,Blue,29215,Good,46749.49,46370.38,CUST0075,Kathryn Wilkins,Tucker-Smith Auto,Crystalville,OH,Lease,LightStream
76,2025-02-17,Ford,F-150,2024,Hatchback,Green,65793,Excellent,64338.67,62658.84,CUST0076,Teresa Johnson,"Quinn, Blackwell and Mann Auto",Erinstad,OH,Cash,Ally Financial
77,2025-06-23,Tesla,Model Y,2021,Truck,White,33307,Certified Pre-Owned,19972.71,19781.62,CUST0077,Kyle Larsen,"Jenkins, Fitzpatrick and Turner Auto",North Brianton,CA,Lease,Citi
78,2024-04-24,Audi,A4,2018,Convertible,Green,73008,Fair,20369.42,20112.39,CUST0078,Michelle Mack,Torres Ltd Auto,Lake Kathryn,AZ,Lease,LightStream
79,2024-12-31,Ford,Explorer,2018,Truck,Red,4261,Excellent,62953.85,60934.51,CUST0079,Anna Reid,Brown-Taylor Auto,New Jonathan,AZ,Financing,LightStream
80,2024-12-17,Hyundai,Tucson,2020,Hatchback,Silver,51192,Certified Pre-Owned,47642.36,46524.28,CUST0080,Isaiah Lawson III,Hernandez-Hughes Auto,Susanmouth,GA,Lease,Chase
81,2025-01-25,BMW,X5,2021,Truck,Black,55839,Good,63165.68,61922.4,CUST0081,Fernando Williams,"Freeman, Warren and Garcia Auto",North Tina,TX,Cash,Ally Financial
82,2025-03-14,Ford,Explorer,2018,SUV,Beige,67213,Certified Pre-Owned,67812.36,66866.58,CUST0082,Sarah Allen,"Robinson, Dixon and Rich Auto",Port Robert,AZ,Cash,Chase
83,2024-02-26,BMW,X5,2021,Coupe,Red,78993,Excellent,20786.94,19875.16,CUST0083,Sarah Wilson,Aguirre Group Auto,Hectorshire,FL,Lease,Wells Fargo
84,2024-08-03,Mazda,CX-5,2020,Truck,Green,63706,Good,28628.37,28564.77,CUST0084,Marc Nguyen Jr.,"Howard, Davis and Woods Auto",Webstermouth,PA,Cash,Ally Financial
85,2024-11-03,Toyota,Camry,2021,Sedan,Green,22919,Certified Pre-Owned,48741.71,47143.06,CUST0085,Matthew Hart,"Cobb, James and Gibson Auto",Amandachester,PA,Lease,Bank of America
86,2025-03-20,Ford,Explorer,2019,Hatchback,Beige,24723,Certified Pre-Owned,27316.17,27030.93,CUST0086,Tracey Scott,Morris-Pena Auto,Laurentown,FL,Cash,Ally Financial
87,2024-12-13,Nissan,Altima,2025,SUV,Black,40569,Fair,30114.01,29346.22,CUST0087,Michael Lewis,Miller-Baker Auto,Wongburgh,FL,Cash,US Bank
88,2024-06-03,Honda,CR-V,2018,Truck,Black,48446,Certified Pre-Owned,43553.66,41895.27,CUST0088,Jason Moore,King-Martin Auto,Kramerchester,MI,Financing,Bank of America
89,2024-04-17,Kia,Sportage,2022,Convertible,Silver,43254,Fair,24325.81,23170.84,CUST0089,Donna Lamb,Johnson LLC Auto,Nathanburgh,NY,Lease,Chase
90,2024-06-22,Mazda,CX-5,2023,Coupe,Gray,51823,Certified Pre-Owned,38328.11,38037.56,CUST0090,James Stevens,Perez-Gay Auto,Tammystad,IL,Lease,Wells Fargo
91,2024-08-02,Audi,A4,2021,SUV,Black,55348,Good,44921.6,43457.69,CUST0091,Adam Smith,Garcia-Vargas Auto,Laurieton,TX,Cash,Wells Fargo
92,2024-07-11,Toyota,RAV4,2021,SUV,Gray,6648,Excellent,35840.27,34231.0,CUST0092,April Smith,Smith Inc Auto,Aliceview,TX,Cash,LightStream
93,2025-02-04,Chevrolet,Tahoe,2021,SUV,Blue,53084,Excellent,39242.12,38780.91,CUST0093,Andrew Johnson,Romero-Lin Auto,Rodriguezhaven,AZ,Financing,US Bank
94,2024-06-18,Volkswagen,Jetta,2019,SUV,Gray,22298,Good,26084.49,24962.12,CUST0094,Phillip Hayes,Bauer LLC Auto,Smithberg,CA,Lease,LightStream
95,2024-01-18,Tesla,Model 3,2021,Sedan,Blue,27158,Certified Pre-Owned,49041.97,47378.84,CUST0095,Kevin Cook,"Jordan, Taylor and Shaw Auto",Ariasburgh,AZ,Cash,Citi
96,2025-04-22,Audi,A4,2018,Convertible,Gray,62878,Certified Pre-Owned,78958.75,78859.83,CUST0096,Emily Dean,James and Sons Auto,Kathleenbury,AZ,Cash,Bank of America
97,2025-01-24,Ford,F-150,2019,SUV,Green,7088,Good,42576.31,42462.05,CUST0097,Alicia Anderson,Webster LLC Auto,Goodmanport,MI,Cash,Citi
98,2024-08-09,Mercedes,E-Class,2019,Coupe,Blue,35383,Excellent,39204.47,38468.59,CUST0098,Yvonne Luna,Jarvis Inc Auto,Richardport,AZ,Lease,Citi
99,2024-02-24,Hyundai,Elantra,2018,Hatchback,Gray,71267,Certified Pre-Owned,27827.25,27323.51,CUST0099,Caroline Mcdaniel,Perez Ltd Auto,South Manuelfurt,TX,Cash,Citi
100,2024-02-12,Tesla,Model 3,2021,Coupe,Silver,40134,Fair,43950.18,43227.51,CUST0100,Felicia Young,Smith Inc Auto,New Ronnietown,OH,Financing,US Bank
101,2024-03-16,Toyota,Camry,2025,Sedan,Red,30492,Excellent,70660.92,70245.19,CUST0101,Kimberly Norris,Miller and Sons Auto,New Russellland,OH,Financing,Wells Fargo
102,2024-10-16,Ford,Mustang,2022,Convertible,White,72798,Excellent,50865.03,48578.95,CUST0102,Jeremiah Nguyen,"Cox, Myers and Brown Auto",West Sarah,FL,Lease,Citi
103,2025-01-04,Audi,Q5,2023,Coupe,Beige,77536,Fair,18767.33,18702.09,CUST0103,James Berry,Kelly-Simmons Auto,Ramirezchester,MI,Cash,Ally Financial
104,2025-05-19,Audi,Q5,2025,Truck,Green,38638,Excellent,62860.87,60406.72,CUST0104,Danielle Bailey,"Cooper, Wilson and Rogers Auto",Nicoleshire,TX,Financing,Citi
105,2024-08-09,Ford,Mustang,2018,Coupe,Beige,7976,Certified Pre-Owned,44006.13,41841.33,CUST0105,Raymond Crawford,"Wells, Buchanan and Rowland Auto",Greenborough,GA,Cash,Citi
106,2024-07-28,Toyota,RAV4,2019,Hatchback,Black,13677,Certified Pre-Owned,52249.6,52215.42,CUST0106,Michael Whitehead,"Mcclure, Jones and Garrett Auto",Transhire,AZ,Financing,Ally Financial
107,2024-02-24,Subaru,Outback,2021,Hatchback,Black,24944,Good,16661.51,16032.46,CUST0107,Justin Krueger,Greene-Baker Auto,New Patrick,IL,Lease,Chase
108,2025-04-24,Ford,F-150,2025,Sedan,Gray,63654,Certified Pre-Owned,47038.15,44867.75,CUST0108,Aaron Jacobson,"Mcconnell, Fritz and Mendez Auto",Stevenfort,AZ,Lease,Citi
109,2025-01-23,Toyota,Camry,2024,Sedan,White,37590,Good,21338.97,20846.52,CUST0109,Alexandra Hill,Hunter PLC Auto,South Benjamin,OH,Lease,Wells Fargo
110,2024-04-02,Toyota,Corolla,2025,Truck,Beige,39134,Good,24352.23,23252.12,CUST0110,Heather Gonzales,Ayala-Brown Auto,Dawnview,FL,Financing,Capital One
111,2024-05-10,Hyundai,Elantra,2022,Truck,White,55653,Fair,75559.05,72702.29,CUST0111,Christopher Thompson,Valenzuela-Schmidt Auto,Port Austinbury,OH,Cash,Chase
112,2024-03-20,Chevrolet,Tahoe,2021,Convertible,Black,16958,Certified Pre-Owned,39998.35,39828.74,CUST0112,Mary Butler,King-Jones Auto,South Philip,CA,Financing,Wells Fargo
113,2024-04-05,Subaru,Outback,2018,SUV,Red,42050,Excellent,55390.89,53941.55,CUST0113,Debra Mack,Hernandez-Wilson Auto,East Dawnmouth,CA,Lease,Bank of America
114,2024-09-24,Hyundai,Tucson,2024,Truck,Red,57073,Fair,50074.45,49575.54,CUST0114,Jo Aguilar,"Nash, Clarke and Petty Auto",Audreymouth,OH,Lease,LightStream
115,2025-02-18,Subaru,Outback,2019,SUV,White,41234,Fair,68584.16,66688.71,CUST0115,Tina Morgan,Nguyen and Sons Auto,South Mauriceshire,IL,Cash,Ally Financial
116,2024-11-04,Toyota,RAV4,2023,Coupe,Blue,1260,Certified Pre-Owned,75010.65,73757.9,CUST0116,Kevin Norris,Myers-Singh Auto,Lake Kelly,AZ,Cash,Chase
117,2025-03-15,Honda,Civic,2024,Sedan,White,9378,Good,56989.26,56416.21,CUST0117,James Hood,"Ellison, Kim and Sanchez Auto",New Shawn,NY,Financing,Bank of America
118,2024-09-05,Chevrolet,Silverado,2018,Coupe,Beige,2504,Excellent,37692.45,36993.53,CUST0118,Molly Rodriguez,Higgins Group Auto,West Elizabeth,AZ,Cash,US Bank
119,2024-11-26,Tesla,Model 3,2022,Sedan,White,1776,Fair,76973.15,74507.51,CUST0119,Angelica Flynn,Levine-Mclaughlin Auto,Lindseyberg,CA,Financing,Chase
120,2024-12-16,Toyota,Camry,2022,Truck,Beige,50468,Fair,61358.68,59072.67,CUST0120,Kayla Miller,"Williams, Martinez and Rangel Auto",New Chadland,MI,Cash,US Bank
121,2024-04-07,Subaru,Outback,2025,Truck,Silver,36965,Excellent,37815.44,36607.77,CUST0121,Kathryn Contreras,"Coleman, Walker and Elliott Auto",Port Paul,GA,Financing,Wells Fargo
122,2025-04-13,Chevrolet,Tahoe,2025,Convertible,White,61671,Good,42433.37,40488.13,CUST0122,James Booth,Weber Ltd Auto,Paulfort,AZ,Financing,Bank of America
123,2024-04-08,Toyota,RAV4,2019,Truck,Silver,48872,Certified Pre-Owned,26091.49,25951.18,CUST0123,Juan Saunders,"Gonzalez, Bryan and Wolf Auto",Smithchester,CA,Lease,Bank of America
124,2024-04-28,BMW,3 Series,2023,Truck,White,57565,Excellent,54108.05,52236.66,CUST0124,William Webster,Newton-Martin Auto,West Amber,TX,Financing,US Bank
125,2024-09-10,Toyota,RAV4,2024,Hatchback,Green,24732,Certified Pre-Owned,59444.57,57902.06,CUST0125,Raymond Martin,"Washington, Leach and Riley Auto",Kramerberg,TX,Lease,Chase
126,2024-03-12,Volkswagen,Jetta,2021,Sedan,Beige,52691,Good,65498.07,62735.07,CUST0126,Jennifer Garrett,Lopez-Fox Auto,Christinamouth,PA,Cash,Wells Fargo
127,2024-06-08,BMW,3 Series,2022,Truck,Blue,49771,Fair,77621.58,74127.21,CUST0127,Michael Austin,Long Group Auto,Stephanieville,AZ,Financing,US Bank
128,2024-05-26,BMW,3 Series,2020,SUV,Black,11536,Good,31334.19,30250.51,CUST0128,Ashley Wagner,"Nichols, Hodges and Adams Auto",Rebeccamouth,NY,Financing,Wells Fargo
129,2024-08-05,Ford,Explorer,2022,Convertible,Beige,42547,Good,64882.55,64666.94,CUST0129,Lauren Torres,Logan-Carter Auto,Longside,AZ,Cash,US Bank
130,2025-01-14,Tesla,Model Y,2022,Sedan,White,75292,Fair,78141.59,77787.96,CUST0130,Shane Martinez,Wiley-Robbins Auto,South Jonathan,IL,Financing,Ally Financial
131,2025-02-24,Mazda,CX-5,2022,Hatchback,Blue,73446,Good,73307.63,70502.25,CUST0131,Cristina Curtis,"Singleton, Meyers and Mccullough Auto",Turnerview,MI,Financing,Chase
132,2024-10-19,Nissan,Altima,2025,Coupe,Blue,74995,Certified Pre-Owned,63876.36,62210.52,CUST0132,Christian Barrera,Richards LLC Auto,Drewshire,PA,Cash,LightStream
133,2024-11-25,Audi,Q5,2018,Truck,Black,73780,Good,35905.89,34602.84,CUST0133,Cynthia Nunez,Cobb Inc Auto,East John,TX,Lease,LightStream
134,2024-02-18,Honda,Civic,2024,Truck,Beige,57044,Certified Pre-Owned,23241.78,22705.16,CUST0134,James Bautista,Orozco-Thomas Auto,Garcialand,PA,Financing,Capital One
135,2024-12-27,Volkswagen,Jetta,2024,Convertible,Black,78825,Excellent,63980.72,62995.65,CUST0135,Julie Graham,"Rosales, Williams and Horton Auto",Medinachester,NY,Financing,Wells Fargo
136,2025-03-31,BMW,X5,2022,Sedan,Beige,57046,Good,23201.67,22710.8,CUST0136,Cody Carpenter DVM,Jones-Carroll Auto,East Amberport,AZ,Financing,Chase
137,2024-07-25,Audi,Q5,2023,Convertible,Black,3428,Fair,42329.92,42028.01,CUST0137,Kristi Myers,"Simmons, Allen and Miller Auto",Beckerton,OH,Lease,Capital One
138,2025-04-09,Subaru,Outback,2021,Coupe,White,39716,Certified Pre-Owned,66772.73,65883.6,CUST0138,Mary Zamora,"Drake, Reed and Robinson Auto",Noblefurt,IL,Financing,LightStream
139,2025-03-18,Audi,A4,2019,Coupe,White,17664,Certified Pre-Owned,32659.96,31607.39,CUST0139,Jacob Ashley,Miller Ltd Auto,Lake Jamesside,OH,Lease,Chase
140,2025-01-11,Volkswagen,Jetta,2019,Convertible,Blue,4689,Fair,38398.39,38326.8,CUST0140,Jeremy White,Gibson-Miller Auto,East Amyton,AZ,Lease,Ally Financial
141,2025-06-04,Mercedes,E-Class,2023,Coupe,Blue,35011,Good,23592.05,22871.84,CUST0141,Julie Mcdonald,"Young, Barron and Edwards Auto",Johnsmouth,MI,Financing,Ally Financial
142,2024-07-23,Chevrolet,Tahoe,2023,Hatchback,Green,27593,Certified Pre-Owned,61118.72,60062.88,CUST0142,Tracey Wade,Berry Group Auto,New Samuelville,NY,Financing,US Bank
143,2024-04-16,Honda,CR-V,2018,Convertible,Red,28287,Excellent,61057.85,61005.48,CUST0143,Lisa Smith,Palmer-Stevenson Auto,Lake Jesse,CA,Lease,LightStream
144,2024-02-04,Honda,CR-V,2025,Coupe,Green,74944,Good,75354.84,73358.5,CUST0144,Donna Spence,"Gordon, Torres and Bird Auto",West Cathyfurt,OH,Lease,LightStream
