order_id,date,customer_id,customer_name,product_id,product_name,category,sub_category,price,quantity,discount,shipping_cost,payment_method,region,city,state,order_status,fulfillment,sales_channel
53,2025-05-13,CUST0053,Robin Austin,PROD0053,Child 572,Books,Fiction,1836.9,5,0.1,14.82,Amazon Pay,Central,Ortegaborough,Connecticut,Shipped,Easy Ship,Amazon DE
54,2024-04-20,CUST0054,Matthew Smith,PROD0054,Charge 788,Books,Educational,491.18,10,0.23,26.96,Debit Card,East,Meganmouth,Mississippi,Delivered,FBA,Amazon.in
55,2025-03-26,CUST0055,Kimberly Lee,PROD0055,Admit 297,Sports,Outdoor,145.22,7,0.03,6.99,Debit Card,East,Port Stephanie,New Hampshire,Delivered,FBA,Amazon UK
56,2024-02-25,CUST0056,Monique Zimmerman,PROD0056,Buy 188,Electronics,Mobile Phones,1242.6,1,0.28,33.52,COD,North,Lopezfort,Maryland,Processing,Easy Ship,Amazon.in
57,2024-12-29,CUST0057,Melvin Raymond,PROD0057,For 578,Electronics,Headphones,758.16,10,0.24,10.87,Debit Card,East,Anthonymouth,New York,Shipped,Easy Ship,Amazon UK
58,2025-04-01,CUST0058,Rickey Adams,PROD0058,Maybe 265,Sports,Cycling,160.67,8,0.28,15.27,Amazon Pay,East,New Ashleyport,Idaho,Delivered,FBA,Amazon UK
59,2025-02-07,CUST0059,Amber Salinas,PROD0059,Challenge 171,Clothing,Womens Wear,1556.44,7,0.12,49.81,UPI,South,East Juanport,Oregon,Shipped,FBM,Amazon DE
60,2024-06-05,CUST0060,Leslie Collins,PROD0060,One 552,Sports,Cycling,409.33,7,0.05,25.62,Net Banking,South,Port Elizabeth,New York,Shipped,Easy Ship,Amazon.in
61,2024-09-29,CUST0061,Ryan Berry,PROD0061,Administration 768,Clothing,Womens Wear,215.54,2,0.02,36.92,Credit Card,West,Roymouth,Indiana,Processing,Easy Ship,Amazon.com
62,2024-06-16,CUST0062,Linda Larson,PROD0062,About 589,Electronics,Mobile Phones,1866.46,7,0.08,35.6,COD,North,Ramirezview,Kentucky,Cancelled,FBM,Amazon DE
63,2025-04-14,CUST0063,Lorraine Nelson,PROD0063,Lose 441,Home,Furniture,1689.66,2,0.16,2.16,Net Banking,North,West Davidchester,New Hampshire,Returned,Easy Ship,Amazon UK
64,2024-11-19,CUST0064,Andrea Mckinney,PROD0064,Run 280,Clothing,Womens Wear,807.22,2,0.11,42.96,Net Banking,East,Brandonborough,South Dakota,Shipped,Easy Ship,Amazon.com
65,2024-05-23,CUST0065,Kelly Kennedy,PROD0065,Politics 186,Electronics,Mobile Phones,1935.35,4,0.09,20.73,Amazon Pay,East,New Williamhaven,Pennsylvania,Shipped,Easy Ship,Amazon DE
66,2024-01-24,CUST0066,Matthew Weaver,PROD0066,Read 164,Home,Kitchen,1473.3,3,0.01,3.22,Debit Card,West,Hillshire,New York,Returned,Easy Ship,Amazon DE
67,2024-02-04,CUST0067,Mrs. Victoria Douglas,PROD0067,Tree 157,Books,Non-Fiction,622.38,9,0.29,40.97,Credit Card,North,Gallagherborough,Utah,Returned,FBM,Amazon UK
68,2024-07-10,CUST0068,Katherine Ramos,PROD0068,Foot 858,Sports,Fitness,1444.81,7,0.04,40.74,Net Banking,Central,South William,Georgia,Delivered,Easy Ship,Amazon.com
69,2025-04-28,CUST0069,Kimberly Adams,PROD0069,Benefit 818,Clothing,Mens Wear,1850.38,1,0.22,25.47,COD,North,North Bryanburgh,Massachusetts,Shipped,Easy Ship,Amazon.com
70,2025-02-22,CUST0070,Janet Walters,PROD0070,Baby 937,Electronics,Headphones,38.59,1,0.27,41.4,COD,South,Lake Jamesview,Delaware,Shipped,FBA,Amazon.in
71,2024-10-12,CUST0071,Timothy Shaw,PROD0071,Professor 223,Electronics,Laptops,999.32,10,0.07,40.61,Amazon Pay,West,Adamstad,Nevada,Delivered,Easy Ship,Amazon UK
72,2025-02-02,CUST0072,Angela Guzman,PROD0072,Since 164,Books,Fiction,1096.31,6,0.25,40.07,COD,South,Jonathanchester,Alabama,Processing,FBA,Amazon UK
73,2025-04-16,CUST0073,Ashley Cox,PROD0073,Off 236,Clothing,Womens Wear,291.06,7,0.05,19.76,Debit Card,Central,East Melodyside,South Carolina,Shipped,FBA,Amazon.in
74,2025-04-14,CUST0074,Katelyn Wilson,PROD0074,Couple 283,Sports,Fitness,1696.26,10,0.11,9.57,Credit Card,North,Allenfort,Rhode Island,Cancelled,FBA,Amazon.in
75,2024-12-27,CUST0075,Scott Reynolds,PROD0075,Yes 246,Books,Educational,1306.99,5,0.12,40.76,Amazon Pay,South,Cervantesburgh,Vermont,Processing,Easy Ship,Amazon.com
76,2025-03-07,CUST0076,Phillip Campbell Jr.,PROD0076,Expert 726,Clothing,Womens Wear,1050.94,7,0.07,10.38,COD,South,East Joshua,Georgia,Delivered,FBA,Amazon DE
77,2025-01-25,CUST0077,Jordan Hess,PROD0077,Different 733,Books,Non-Fiction,1654.7,5,0.1,2.22,Credit Card,Central,South Alexandraberg,Florida,Shipped,FBM,Amazon.in
78,2024-04-23,CUST0078,Victor Scott,PROD0078,Respond 298,Sports,Outdoor,1524.65,9,0.15,24.28,Debit Card,East,Lake Steven,North Dakota,Delivered,FBA,Amazon.in
79,2024-09-20,CUST0079,Laura Paul,PROD0079,Car 314,Sports,Fitness,306.94,8,0.15,9.67,Credit Card,East,Port Brendan,Mississippi,Cancelled,FBM,Amazon UK
80,2024-08-19,CUST0080,Jason Carson,PROD0080,Computer 596,Clothing,Womens Wear,675.25,8,0.01,37.54,Debit Card,South,Port Sean,Connecticut,Cancelled,Easy Ship,Amazon.in
81,2024-05-08,CUST0081,Stacy Diaz,PROD0081,Simply 897,Electronics,Laptops,151.01,4,0.22,30.45,Debit Card,East,Gordonmouth,California,Shipped,FBA,Amazon.com
82,2025-03-09,CUST0082,Jessica Stewart,PROD0082,Create 699,Clothing,Kids,463.29,4,0.22,43.75,Debit Card,North,Colemanfort,Louisiana,Shipped,FBM,Amazon DE
83,2025-04-02,CUST0083,Gary Cochran,PROD0083,Executive 837,Electronics,Mobile Phones,1782.07,3,0.06,31.25,UPI,South,South Megan,Indiana,Shipped,FBA,Amazon DE
84,2025-01-15,CUST0084,Ebony Price,PROD0084,Worry 213,Books,Non-Fiction,723.59,5,0.06,8.11,Credit Card,East,Ochoaside,Illinois,Delivered,FBM,Amazon.com
85,2025-06-25,CUST0085,Alicia Murphy,PROD0085,Certain 691,Home,Kitchen,842.27,6,0.07,16.17,Amazon Pay,Central,East Misty,West Virginia,Shipped,Easy Ship,Amazon.com
86,2024-06-23,CUST0086,Erin Owen,PROD0086,City 385,Sports,Outdoor,467.11,7,0.26,25.48,COD,West,Michaelashire,South Dakota,Returned,FBA,Amazon DE
87,2025-06-14,CUST0087,Amy Bailey,PROD0087,Other 527,Books,Educational,861.94,4,0.07,22.84,COD,South,Patricialand,Georgia,Shipped,FBA,Amazon.in
88,2024-05-04,CUST0088,Robert Wilkerson,PROD0088,Always 607,Electronics,Mobile Phones,1982.63,9,0.01,27.49,Amazon Pay,North,Port Kathy,New Mexico,Delivered,FBA,Amazon DE
89,2025-03-19,CUST0089,Joshua Diaz,PROD0089,Already 763,Electronics,Laptops,1121.39,1,0.21,21.52,UPI,East,East Kimberlyton,Nebraska,Shipped,FBA,Amazon.com
90,2025-06-08,CUST0090,Emily Ho,PROD0090,Community 574,Electronics,Mobile Phones,964.77,5,0.05,24.05,COD,North,Sarahville,Florida,Delivered,FBA,Amazon DE
91,2025-03-31,CUST0091,Christopher Ryan,PROD0091,Not 494,Sports,Outdoor,1409.24,3,0.24,19.78,Amazon Pay,North,Debbiestad,Texas,Delivered,Easy Ship,Amazon.in
92,2025-06-10,CUST0092,Arthur Conner,PROD0092,Note 906,Clothing,Kids,1066.53,5,0.13,14.95,COD,Central,Murphyborough,Tennessee,Cancelled,Easy Ship,Amazon.com
93,2025-06-03,CUST0093,Robert Riley,PROD0093,Surface 213,Electronics,Laptops,1244.71,6,0.22,4.63,Amazon Pay,East,Yangville,Missouri,Cancelled,FBM,Amazon.in
94,2024-05-13,CUST0094,Bradley Rodgers,PROD0094,Least 241,Clothing,Kids,936.05,1,0.11,10.41,Credit Card,Central,Gonzaleztown,Vermont,Delivered,FBM,Amazon.com
95,2024-08-25,CUST0095,Samuel Wallace,PROD0095,She 428,Clothing,Mens Wear,1083.87,8,0.22,38.11,Amazon Pay,South,Harrisonfurt,Kansas,Cancelled,FBM,Amazon.com
96,2024-08-27,CUST0096,Robin Anderson,PROD0096,Just 581,Sports,Cycling,542.04,7,0.08,5.04,Net Banking,Central,Davidton,North Dakota,Shipped,Easy Ship,Amazon.in
97,2024-03-16,CUST0097,Michael Sullivan,PROD0097,Nice 568,Home,Decor,1359.83,9,0.27,23.69,Amazon Pay,North,North Davidside,North Carolina,Shipped,FBA,Amazon.com
98,2025-05-26,CUST0098,Nathan Rosales,PROD0098,According 608,Electronics,Laptops,787.46,3,0.09,47.92,UPI,North,Scottville,Florida,Shipped,FBA,Amazon.com
99,2024-05-16,CUST0099,Justin Burke,PROD0099,Market 530,Sports,Outdoor,416.47,1,0.09,48.54,Debit Card,West,Vasquezton,Massachusetts,Delivered,FBM,Amazon UK
100,2025-05-01,CUST0100,Cory Newman,PROD0100,Common 692,Books,Educational,1292.92,5,0.06,3.06,COD,East,South Peter,Montana,Processing,FBM,Amazon DE
101,2025-04-04,CUST0101,Carolyn Hernandez,PROD0101,Role 411,Books,Non-Fiction,1295.64,6,0.15,33.96,COD,West,East Jeffreyview,Arizona,Delivered,Easy Ship,Amazon DE
102,2025-05-06,CUST0102,Stephanie Stewart,PROD0102,Use 461,Electronics,Headphones,1797.58,5,0.05,14.48,UPI,North,Travisburgh,North Carolina,Delivered,FBM,Amazon.com
103,2024-12-23,CUST0103,Katelyn Fletcher,PROD0103,Resource 343,Home,Kitchen,1912.87,10,0.28,36.17,Debit Card,South,Port John,Missouri,Shipped,FBA,Amazon.com
104,2024-02-18,CUST0104,Tracy Wagner,PROD0104,Mouth 452,Electronics,Mobile Phones,1987.61,10,0.04,14.5,COD,North,Port Joshua,Ohio,Shipped,FBA,Amazon UK
105,2024-05-23,CUST0105,Robert Dominguez,PROD0105,Pick 427,Clothing,Kids,902.37,3,0.16,7.83,Net Banking,South,Lake Marthafort,Michigan,Shipped,FBA,Amazon DE
106,2025-04-30,CUST0106,Betty Morris,PROD0106,Company 918,Electronics,Mobile Phones,1940.6,9,0.29,17.9,Net Banking,East,Donnahaven,Pennsylvania,Processing,Easy Ship,Amazon.com
107,2024-09-22,CUST0107,Debra Hayes,PROD0107,Peace 415,Books,Educational,1814.69,8,0.1,7.39,Credit Card,South,Lake Erikaborough,Maryland,Delivered,FBA,Amazon.in
108,2024-02-26,CUST0108,Traci Brown,PROD0108,Successful 900,Home,Furniture,1238.87,4,0.13,6.44,Amazon Pay,South,Scottburgh,Delaware,Shipped,FBM,Amazon.com
109,2024-08-20,CUST0109,Travis Turner,PROD0109,Evidence 602,Clothing,Mens Wear,54.87,9,0.25,34.5,COD,West,Lake Curtismouth,Kansas,Returned,FBM,Amazon.com
110,2024-10-17,CUST0110,Natalie Russell,PROD0110,Just 481,Books,Fiction,1214.1,1,0.27,19.33,Net Banking,East,Marychester,West Virginia,Shipped,FBA,Amazon DE
111,2025-04-10,CUST0111,Zachary Johnson,PROD0111,Quality 922,Clothing,Womens Wear,696.39,5,0.29,43.97,Amazon Pay,West,Andrewton,Georgia,Shipped,FBM,Amazon DE
112,2024-10-25,CUST0112,Robert Jones,PROD0112,Figure 312,Clothing,Womens Wear,335.94,7,0.22,21.88,COD,North,Lake Rebecca,Massachusetts,Processing,FBM,Amazon.com
113,2025-05-10,CUST0113,Sharon Lester,PROD0113,How 519,Home,Kitchen,1976.88,9,0.3,5.17,Net Banking,North,South Tylermouth,Florida,Returned,Easy Ship,Amazon.in
114,2024-02-26,CUST0114,Tanya Cohen,PROD0114,Or 952,Sports,Cycling,553.92,3,0.17,36.09,Debit Card,South,Marissafurt,Arizona,Processing,FBM,Amazon.com
115,2025-05-04,CUST0115,Philip Moore,PROD0115,Game 329,Clothing,Womens Wear,1112.2,1,0.25,16.5,Net Banking,Central,West Brooke,Oregon,Delivered,FBA,Amazon DE
116,2024-12-05,CUST0116,David Baxter,PROD0116,Nearly 283,Sports,Fitness,14.87,5,0.09,32.75,Credit Card,East,Cherylfort,North Carolina,Delivered,FBM,Amazon DE
117,2025-02-05,CUST0117,Richard Montgomery,PROD0117,Movement 695,Sports,Cycling,1378.81,4,0.01,38.71,Credit Card,Central,Jeremyborough,Nebraska,Delivered,FBM,Amazon UK
118,2024-04-02,CUST0118,Joseph Thomas,PROD0118,Gun 965,Books,Fiction,877.78,5,0.19,24.85,Credit Card,East,Lukeview,South Carolina,Delivered,FBM,Amazon.in
119,2025-03-18,CUST0119,Anna Perkins,PROD0119,Ready 469,Electronics,Headphones,1167.49,3,0.1,44.16,Debit Card,North,Port Gregory,Louisiana,Shipped,FBM,Amazon UK
120,2024-03-03,CUST0120,Daniel Henderson,PROD0120,Foot 884,Books,Non-Fiction,1825.09,6,0.01,16.0,Credit Card,Central,Port David,Nevada,Delivered,Easy Ship,Amazon.com
121,2025-05-15,CUST0121,Phillip Lawrence,PROD0121,Around 801,Electronics,Headphones,1531.73,10,0.23,28.1,Amazon Pay,East,Port Wandaberg,Louisiana,Cancelled,Easy Ship,Amazon UK
122,2025-06-28,CUST0122,Miguel Harrison,PROD0122,Summer 897,Books,Educational,731.42,9,0.17,41.52,COD,East,South Susanville,North Dakota,Shipped,FBM,Amazon UK
123,2024-02-09,CUST0123,Donald Parker,PROD0123,Right 527,Home,Furniture,687.22,3,0.03,9.42,Debit Card,Central,Sharonstad,Louisiana,Shipped,FBM,Amazon.in
124,2024-02-23,CUST0124,Bryan Rodriguez,PROD0124,Nor 711,Sports,Cycling,162.04,3,0.28,25.02,UPI,South,Port Anna,North Dakota,Shipped,Easy Ship,Amazon DE
125,2024-12-10,CUST0125,Rachel Chavez,PROD0125,Bill 804,Sports,Fitness,1940.52,3,0.21,3.38,Debit Card,South,West Christophermouth,Mississippi,Processing,FBA,Amazon.com
126,2024-01-27,CUST0126,Joel Hill,PROD0126,Effect 893,Clothing,Womens Wear,259.43,3,0.29,22.39,Credit Card,North,North Debbiechester,Tennessee,Processing,FBM,Amazon.in
127,2025-01-01,CUST0127,John Howell,PROD0127,Hospital 359,Sports,Fitness,868.18,4,0.03,40.07,Credit Card,West,East Jacksonstad,Idaho,Delivered,FBA,Amazon.in
128,2025-05-03,CUST0128,Sierra Grimes,PROD0128,Month 289,Electronics,Laptops,610.28,1,0.23,39.55,Debit Card,Central,Carolbury,Alabama,Cancelled,Easy Ship,Amazon.com
129,2024-03-23,CUST0129,Larry Reynolds,PROD0129,Manager 975,Clothing,Kids,68.23,3,0.25,47.21,UPI,East,Martintown,Massachusetts,Cancelled,Easy Ship,Amazon.com
130,2024-04-20,CUST0130,Greg Ryan,PROD0130,Enough 832,Sports,Fitness,1459.82,4,0.15,5.28,Credit Card,Central,Trujillohaven,Pennsylvania,Processing,FBA,Amazon.com
131,2024-01-25,CUST0131,Elizabeth Booth,PROD0131,Thus 814,Clothing,Womens Wear,351.83,9,0.0,36.82,COD,West,Kingtown,Kansas,Cancelled,Easy Ship,Amazon UK
132,2024-09-19,CUST0132,Diana Roy,PROD0132,Movement 517,Electronics,Headphones,884.94,2,0.05,19.03,Debit Card,Central,North Amber,New Jersey,Shipped,FBA,Amazon.com
133,2024-02-20,CUST0133,Anne Palmer,PROD0133,Require 184,Sports,Fitness,1969.38,2,0.14,26.95,UPI,East,Grossfort,West Virginia,Delivered,FBM,Amazon.in
134,2024-03-25,CUST0134,Andrew Serrano,PROD0134,Think 397,Home,Kitchen,240.29,5,0.14,37.34,Net Banking,South,South Juliantown,Louisiana,Delivered,FBM,Amazon DE
135,2025-03-21,CUST0135,Leslie Allen,PROD0135,Son 505,Clothing,Mens Wear,1714.98,8,0.28,19.64,Amazon Pay,West,Port April,West Virginia,Shipped,FBM,Amazon.in
136,2024-11-12,CUST0136,Brendan Vasquez,PROD0136,Should 472,Home,Decor,1320.51,2,0.04,20.95,Credit Card,South,Madisonborough,Illinois,Delivered,FBA,Amazon.in
137,2024-01-23,CUST0137,Angela Lamb,PROD0137,Rock 874,Clothing,Kids,408.52,7,0.04,42.23,UPI,Central,Obrienside,Alaska,Processing,Easy Ship,Amazon UK
138,2024-12-15,CUST0138,Joseph Hayes,PROD0138,Forget 225,Home,Furniture,718.63,10,0.29,49.4,Debit Card,West,East Shannon,Kansas,Delivered,FBM,Amazon.in
139,2024-02-03,CUST0139,Troy Reed,PROD0139,Beat 491,Home,Kitchen,999.57,3,0.01,37.41,Net Banking,North,Lake Vickie,Indiana,Processing,Easy Ship,Amazon.com
140,2024-11-15,CUST0140,Charles Henderson,PROD0140,Capital 306,Books,Non-Fiction,660.64,5,0.19,6.62,COD,West,Joannstad,Illinois,Shipped,FBM,Amazon DE
141,2024-12-11,CUST0141,Dawn Torres,PROD0141,Glass 540,Books,Non-Fiction,1000.82,9,0.08,18.49,COD,North,Marybury,New Mexico,Cancelled,FBA,Amazon.in
142,2025-06-09,CUST0142,Scott Carpenter,PROD0142,Institution 603,Home,Furniture,905.73,7,0.13,3.73,Amazon Pay,East,Smithland,New Hampshire,Shipped,FBM,Amazon.com
143,2024-12-11,CUST0143,Richard Morales,PROD0143,Market 587,Electronics,Headphones,631.79,7,0.15,7.25,Amazon Pay,Central,Wilkinsonbury,Delaware,Delivered,Easy Ship,Amazon DE
