call_id,agent_id,agent_name,department,call_datetime,duration_sec,call_type,customer_rating,issue_category,resolution_status,hold_time_sec,caller_phone,caller_city
22,AGT023,Alexis Bradley DVM,Technical Support,2025-05-05 06:30:24,602,Inbound,4.2,Network Problem,Resolved,530,683.315.3050,South Lisamouth
23,AGT024,Joshua Wagner,General Inquiry,2025-06-24 08:28:29,1841,Outbound,1.3,Order Status,Resolved,755,001-241-506-8449,Robinsonland
24,AGT025,Raymond Hall,Account Management,2025-01-07 10:15:13,704,Inbound,3.7,Technical Fault,Follow-up Required,30,515-824-3118x0134,Dennisville
25,AGT026,Phillip Johnson,Billing,2025-03-17 16:29:23,3225,Inbound,1.1,Order Status,Resolved,883,789-953-3261x25786,Lake Alejandroberg
26,AGT027,Jennifer Marquez,Billing,2025-01-20 01:52:43,1350,Inbound,1.7,Order Status,Resolved,84,(307)633-2360x36375,West William
27,AGT028,Dustin Lozano,Account Management,2025-06-19 22:00:28,3328,Inbound,1.4,Technical Fault,Follow-up Required,58,739.258.6079x64221,Taylorbury
28,AGT029,Melissa Hernandez,Technical Support,2025-06-13 10:48:44,1477,Outbound,2.3,Order Status,Resolved,813,456.991.3721x2668,West Tammy
29,AGT030,Debbie Johnson,Sales,2025-04-16 21:01:45,1098,Outbound,1.6,Account Access,Escalated,614,6848162057,Emilyshire
30,AGT031,Matthew Robinson,Sales,2025-01-20 03:00:57,2041,Inbound,3.1,Technical Fault,Resolved,154,001-257-885-3219x836,Jodiborough
31,AGT032,Michael Wright,Sales,2025-01-20 02:39:44,2083,Outbound,3.5,Payment Issue,Follow-up Required,388,712-545-9922,North Elizabeth
32,AGT033,Amanda Rogers,Billing,2025-04-13 09:15:42,2107,Inbound,2.7,Payment Issue,Resolved,613,+1-609-687-0961x3160,East Lisa
33,AGT034,Joanne Cruz,Billing,2025-03-11 21:44:41,2741,Outbound,2.0,Network Problem,Dropped,353,001-462-299-1970x30388,Garcialand
34,AGT035,Mary Evans,Billing,2025-04-13 05:58:26,1510,Outbound,3.9,Product Info,Escalated,414,001-574-431-9945x7667,Brockberg
35,AGT036,Kaitlin Gordon,General Inquiry,2025-05-01 09:04:03,533,Inbound,1.9,Network Problem,Follow-up Required,523,+1-694-716-9333x5870,Larryland
36,AGT037,John Brown,Sales,2025-04-19 14:20:34,1543,Inbound,3.6,Product Info,Follow-up Required,841,+1-306-304-7243x63393,Lake Davidborough
37,AGT038,Jon Smith,General Inquiry,2025-03-27 19:03:19,1567,Outbound,3.9,Account Access,Resolved,640,390.768.7680,Griffinberg
38,AGT039,Kerry Pittman,Billing,2025-03-06 13:52:08,1695,Outbound,1.8,Complaint,Dropped,632,345-608-1006x0854,New Lindaton
39,AGT040,Kevin Gutierrez,Billing,2025-04-01 00:58:37,3193,Inbound,3.5,Order Status,Escalated,128,+1-842-750-4301x9784,Tranhaven
40,AGT041,Amy Gibbs,Billing,2025-01-29 18:33:30,1126,Inbound,4.2,Payment Issue,Dropped,258,+1-465-951-3562x82009,East Cody
41,AGT042,Jeffrey Brown,General Inquiry,2025-01-26 22:32:16,2197,Inbound,4.0,Product Info,Follow-up Required,877,001-207-898-7825x535,Port Michaelstad
42,AGT043,Spencer Church,General Inquiry,2025-04-19 18:49:24,1970,Inbound,3.0,Network Problem,Escalated,387,328.327.3849x200,Antonioborough
43,AGT044,Christian Thompson,General Inquiry,2025-02-18 13:00:05,2683,Inbound,1.3,Product Info,Escalated,158,850.764.5766x45270,Michaelborough
44,AGT045,Dawn Larson,Technical Support,2025-04-08 09:36:50,2883,Inbound,2.6,Order Status,Follow-up Required,743,923-981-4247,South Randallstad
45,AGT046,Amber Cox,General Inquiry,2025-02-11 18:46:53,2370,Outbound,3.6,Order Status,Follow-up Required,417,+1-962-775-2507x5073,East James
46,AGT047,Alyssa Brown,Technical Support,2025-05-06 23:33:16,114,Outbound,2.0,Complaint,Escalated,377,8804631218,Blakeview
47,AGT048,Warren Scott,Technical Support,2025-02-09 23:42:10,456,Outbound,2.2,Technical Fault,Follow-up Required,84,+1-594-558-0223x3832,Port Candicetown
48,AGT049,Michael Schneider,Billing,2025-01-18 19:05:00,3397,Outbound,2.6,Order Status,Dropped,160,001-727-381-3900x386,South Justin
49,AGT050,Allen Rogers,Sales,2025-05-18 16:10:22,3133,Outbound,2.2,Technical Fault,Resolved,191,(885)702-9605x8682,Kathrynshire
50,AGT001,Jeremy Barnes,Technical Support,2025-01-29 14:04:30,2983,Inbound,3.7,Product Info,Escalated,300,+1-807-982-5868x81711,North Johnshire
51,AGT002,Laura Wong,Billing,2025-01-31 17:23:11,2768,Outbound,1.3,Complaint,Follow-up Required,421,6149948074,Morrisport
52,AGT003,Scott Briggs,Sales,2025-01-08 13:55:59,2131,Inbound,3.3,Technical Fault,Resolved,790,+1-739-511-3447x519,Torrestown
53,AGT004,Betty Avila,Billing,2025-04-02 01:32:36,1538,Outbound,2.0,Order Status,Escalated,850,+1-805-375-0552x0276,Angelaview
54,AGT005,Michael Lamb,Sales,2025-03-01 14:05:29,3001,Outbound,4.9,Complaint,Resolved,689,651.708.4864,Port Johntown
55,AGT006,Charles Fischer,Billing,2025-04-16 10:05:24,1216,Inbound,3.7,Payment Issue,Follow-up Required,244,001-749-609-8381x466,West Amberview
56,AGT007,Lisa Price,Technical Support,2025-04-21 12:53:54,885,Outbound,4.9,Technical Fault,Follow-up Required,198,2329028749,Caldwellfurt
57,AGT008,Laura Lucas,General Inquiry,2025-05-17 11:05:34,1320,Inbound,4.5,Payment Issue,Dropped,745,(296)778-9391,Sarahchester
58,AGT009,Rebecca Owens,Technical Support,2025-05-20 15:34:47,3331,Outbound,1.4,Payment Issue,Dropped,538,6898315267,Smithview
59,AGT010,Ariana Martinez,Billing,2025-01-07 14:27:09,2259,Inbound,1.2,Network Problem,Escalated,607,267-544-4468,Ellisonstad
60,AGT011,Kevin Ferguson,Technical Support,2025-03-26 07:59:35,2047,Inbound,1.9,Complaint,Follow-up Required,231,475.758.3521x83753,North Natasha
61,AGT012,Daniel Parker,Account Management,2025-03-07 13:24:10,3531,Outbound,1.1,Payment Issue,Resolved,768,001-327-349-3961x656,Smithmouth
62,AGT013,Brianna Morales,Sales,2025-01-10 11:06:00,1624,Inbound,1.4,Account Access,Dropped,797,001-859-708-1330x8704,Christianfort
63,AGT014,Andrew Young,Billing,2025-02-01 05:00:50,787,Inbound,1.8,Payment Issue,Resolved,600,281.363.6289,Hayeschester
64,AGT015,Nicholas Perkins,Sales,2025-02-18 14:24:29,3219,Inbound,2.7,Account Access,Escalated,857,001-620-602-2100x4627,South Terryshire
65,AGT016,Mrs. Breanna Moody DDS,Technical Support,2025-03-09 21:41:38,2849,Outbound,2.5,Complaint,Dropped,270,509.948.5916x312,Phillipside
66,AGT017,Andrew Brown,General Inquiry,2025-01-16 02:37:17,520,Inbound,4.8,Complaint,Resolved,635,+1-209-747-1483x043,South Carolborough
67,AGT018,Elizabeth Munoz,Account Management,2025-03-19 03:49:23,1536,Inbound,3.4,Product Info,Escalated,59,(314)931-9828x28473,Wilsonton
68,AGT019,Thomas Williams,Sales,2025-05-05 21:14:14,2502,Outbound,1.3,Payment Issue,Follow-up Required,111,973.999.5722,Floydburgh
69,AGT020,Lisa Murphy,Technical Support,2025-04-16 15:17:45,977,Inbound,2.6,Complaint,Follow-up Required,858,(436)729-6404,South Barbarastad
70,AGT021,Cassandra Martinez,General Inquiry,2025-03-03 13:17:12,600,Inbound,4.0,Complaint,Escalated,174,859.311.4979x392,West Zacharyshire
71,AGT022,Michael Galloway,Technical Support,2025-04-04 16:23:27,2514,Outbound,3.4,Network Problem,Resolved,245,(267)543-1992x685,North Lindsey
72,AGT023,Michelle Adams,Sales,2025-04-11 12:36:10,1402,Inbound,2.4,Payment Issue,Resolved,261,(239)832-4975x658,Meganberg
73,AGT024,Rebecca Romero,Sales,2025-03-20 23:32:37,562,Outbound,3.1,Complaint,Resolved,849,453-935-5200,Davidbury
74,AGT025,William Hogan,Billing,2025-01-31 20:08:15,3216,Outbound,4.2,Network Problem,Dropped,404,653-498-5874x95442,Hammondton
75,AGT026,Patrick Davis,Account Management,2025-02-02 08:31:47,3268,Inbound,4.0,Account Access,Resolved,119,001-345-683-5905x499,Lindseyfurt
76,AGT027,Stacy Richardson,Account Management,2025-04-14 09:18:52,3226,Inbound,4.4,Payment Issue,Escalated,895,(381)983-4396,New Stephanieborough
77,AGT028,Katherine Lane,General Inquiry,2025-05-26 04:53:47,862,Inbound,2.4,Complaint,Resolved,837,001-484-446-9411,West Joseph
78,AGT029,Paul Cantu,Account Management,2025-05-25 13:10:24,660,Inbound,3.7,Payment Issue,Follow-up Required,763,(660)434-7971x0561,Gregorybury
79,AGT030,Gabriel Boyd,Billing,2025-01-28 15:29:02,748,Inbound,4.1,Product Info,Follow-up Required,364,(746)449-9171,Port Amy
80,AGT031,Nicole Roberts,Account Management,2025-03-02 07:35:12,2115,Outbound,3.2,Complaint,Resolved,497,385.592.8833,Allenburgh
81,AGT032,Timothy Padilla,Account Management,2025-04-02 17:05:58,3155,Outbound,3.2,Network Problem,Escalated,537,848-892-3418x711,Lake Danielle
82,AGT033,Lisa Graham,Sales,2025-04-14 13:23:36,3100,Inbound,4.9,Payment Issue,Escalated,311,001-248-739-1106x92821,Johnside
83,AGT034,Maria Robinson DDS,General Inquiry,2025-05-18 20:12:09,1862,Outbound,4.1,Product Info,Follow-up Required,243,832-868-0953,Lake Benjaminfurt
84,AGT035,Juan Chapman,General Inquiry,2025-05-19 11:21:01,3047,Inbound,4.6,Network Problem,Dropped,47,391.837.2610x8588,Snyderside
85,AGT036,Glenn Jackson,Technical Support,2025-05-21 07:10:43,2672,Inbound,2.5,Order Status,Resolved,54,435-822-9954x237,Hernandeztown
86,AGT037,Steven Ingram,Sales,2025-04-01 11:00:44,1879,Outbound,3.8,Payment Issue,Resolved,519,587.617.5471,North Kenneth
87,AGT038,Terri Bryant,General Inquiry,2025-02-08 11:08:33,2409,Inbound,3.8,Technical Fault,Follow-up Required,292,358-345-3797x6000,Lake Sandra
88,AGT039,Sharon Brown,Billing,2025-06-19 18:51:12,2957,Outbound,5.0,Product Info,Escalated,412,+1-975-990-1506,Jonathanfort
89,AGT040,Frank Russo,General Inquiry,2025-02-05 23:19:16,2375,Outbound,4.2,Technical Fault,Follow-up Required,850,734.580.0567x0904,Millsland
90,AGT041,Kelly Barnes,Billing,2025-04-26 15:29:39,2168,Outbound,2.2,Account Access,Follow-up Required,593,001-213-723-6091,Stephenbury
91,AGT042,Drew Stewart,General Inquiry,2025-04-03 13:56:46,1046,Inbound,1.6,Account Access,Resolved,301,+1-548-567-0783x147,Lake Molly
92,AGT043,Connor Shelton,General Inquiry,2025-04-28 21:54:12,1298,Inbound,3.3,Technical Fault,Escalated,179,671-700-9621,Kyleside
93,AGT044,Dr. Sandra Payne,Billing,2025-04-24 18:04:16,787,Inbound,4.4,Technical Fault,Escalated,301,820-341-4121x3059,Ramosburgh
94,AGT045,Claudia Aguilar,Account Management,2025-04-25 11:40:39,1685,Inbound,3.3,Payment Issue,Dropped,637,317-804-0334x55812,Ballborough
95,AGT046,Makayla Anderson DVM,General Inquiry,2025-05-07 22:37:37,1967,Outbound,1.6,Order Status,Resolved,468,667.385.7680,East Savannah
96,AGT047,Alejandro Reid,Billing,2025-05-10 19:46:30,2659,Inbound,2.8,Order Status,Escalated,316,(600)981-2298x5323,Williamside
97,AGT048,Theresa Goodwin,General Inquiry,2025-04-07 14:53:46,2515,Inbound,1.9,Order Status,Follow-up Required,665,740.443.3445,South Charlesshire
98,AGT049,Brandon Stevens Jr.,General Inquiry,2025-04-17 17:51:05,597,Outbound,3.6,Account Access,Resolved,856,001-491-295-9911,North Jasonbury
99,AGT050,Christopher Jones,Billing,2025-03-01 22:24:15,1441,Outbound,4.8,Order Status,Resolved,145,608-548-1999,Lake Kristin
100,AGT001,Christopher Cortez,Sales,2025-03-27 23:12:05,152,Outbound,3.2,Technical Fault,Escalated,415,+1-558-861-3778x8952,New Michaelton
101,AGT002,Stephen Ferguson,General Inquiry,2025-03-11 07:15:51,2801,Outbound,1.6,Order Status,Follow-up Required,95,454.293.0509x144,East Anna
102,AGT003,Joel Kim,General Inquiry,2025-06-11 01:28:51,1579,Inbound,2.4,Order Status,Resolved,849,(762)521-4746x160,Lake Amanda
103,AGT004,Jessica Waters,Billing,2025-05-16 21:04:10,2331,Inbound,2.9,Complaint,Resolved,688,+1-459-361-8187,Dianemouth
104,AGT005,Gregory Gutierrez,Technical Support,2025-05-07 21:52:39,3336,Inbound,3.1,Account Access,Follow-up Required,768,942.710.1319,Jenniferchester
105,AGT006,Cameron Whitaker,Sales,2025-06-13 05:07:49,3484,Inbound,1.8,Product Info,Dropped,554,3102398411,Lake Allisonmouth
106,AGT007,Cody Stewart,Technical Support,2025-03-30 15:09:17,2436,Inbound,4.2,Product Info,Follow-up Required,641,579.249.8982x8924,Westfurt
107,AGT008,Sean Schmidt Jr.,Billing,2025-05-03 14:40:09,3440,Inbound,4.8,Complaint,Escalated,1,786.820.8795,West Georgestad
108,AGT009,Martin Miller,General Inquiry,2025-06-12 14:46:33,1808,Inbound,3.4,Complaint,Resolved,56,888.633.7572x944,Marksbury
109,AGT010,Ruben Davis,Account Management,2025-06-15 22:51:25,2093,Outbound,1.8,Payment Issue,Escalated,833,7319556847,New Manuel
110,AGT011,Michael Parker,Billing,2025-06-25 14:48:03,226,Outbound,4.8,Complaint,Resolved,626,2369060943,South Megan
111,AGT012,Mr. William Campbell,Billing,2025-06-20 22:27:42,1230,Outbound,3.5,Payment Issue,Follow-up Required,55,+1-535-640-6883x7191,Lake Rachelport
112,AGT013,Kayla Fowler,Account Management,2025-06-18 05:34:22,3198,Outbound,1.7,Order Status,Escalated,892,(972)357-8155,New Kevinfort
113,AGT014,Andrew Parker,Account Management,2025-02-14 20:32:40,2598,Outbound,1.6,Order Status,Follow-up Required,225,001-568-461-0001x853,Millsbury
114,AGT015,Leslie Bowen,Sales,2025-04-18 01:10:05,98,Outbound,4.6,Complaint,Dropped,613,001-339-435-9965x6049,West Edwinbury
115,AGT016,Lindsey Jimenez DVM,Account Management,2025-02-12 10:20:44,694,Outbound,1.2,Complaint,Escalated,743,(992)290-0762x39519,North Williamland
116,AGT017,Beth White,Account Management,2025-02-12 00:59:20,2780,Inbound,1.5,Network Problem,Follow-up Required,19,326-466-3492x1294,South Ronnie
117,AGT018,Jonathan Spence,Account Management,2025-04-30 12:36:31,2999,Inbound,3.5,Complaint,Dropped,48,001-844-867-1227x527,South Kimberlyborough
118,AGT019,Tanya Spence,General Inquiry,2025-04-02 08:35:51,2894,Outbound,4.7,Payment Issue,Follow-up Required,23,001-875-867-0396x506,New David
119,AGT020,Carla Osborne,General Inquiry,2025-03-03 22:40:57,2793,Inbound,3.1,Payment Issue,Escalated,203,(606)717-2448x146,New Ashley
120,AGT021,Matthew Scott,Account Management,2025-02-19 00:12:48,980,Inbound,1.4,Network Problem,Follow-up Required,366,001-526-383-8738x712,West Dustin
121,AGT022,Jessica Martinez,Technical Support,2025-05-22 08:46:56,1442,Inbound,4.7,Complaint,Resolved,478,899.951.2813x86727,Wallaceville
122,AGT023,Abigail Banks,Account Management,2025-03-14 07:37:01,73,Inbound,1.8,Network Problem,Resolved,80,490-607-1625x7652,Christopherfurt
123,AGT024,Cynthia Fields,Billing,2025-03-10 06:04:45,1585,Outbound,1.5,Technical Fault,Dropped,243,869-951-5352x00011,West Cindyside
124,AGT025,Gabriel Weaver,Technical Support,2025-02-26 03:04:29,1945,Inbound,3.0,Account Access,Follow-up Required,385,652.464.3182x55574,Paulaborough
125,AGT026,Christopher Dorsey,Technical Support,2025-06-24 20:20:41,923,Outbound,2.8,Order Status,Follow-up Required,314,001-986-510-8172x81639,Lake Breanna
126,AGT027,Marilyn Franco,General Inquiry,2025-04-12 05:10:41,231,Inbound,3.9,Network Problem,Follow-up Required,48,(530)973-7410x125,Lake Timothy
127,AGT028,Danny Torres,Account Management,2025-01-02 23:49:57,1234,Outbound,3.0,Technical Fault,Resolved,441,001-851-946-3797x987,Hallbury
128,AGT029,Wayne Hunter,Sales,2025-01-15 04:40:53,246,Inbound,1.9,Network Problem,Follow-up Required,851,+1-496-990-5775x550,Port Lisa
129,AGT030,Tony Long,Account Management,2025-06-07 15:22:10,1956,Outbound,3.1,Network Problem,Dropped,758,475.544.1269x048,Obrienland
130,AGT031,Terry Jones,General Inquiry,2025-03-04 05:13:13,727,Inbound,4.7,Payment Issue,Resolved,853,280.959.8819,Williamsstad
131,AGT032,Aaron Peterson,Billing,2025-05-27 19:32:08,2043,Inbound,4.6,Account Access,Escalated,104,001-281-393-1942x10048,Brooksside
132,AGT033,Ricardo Jones,Sales,2025-03-24 10:20:58,2157,Outbound,4.7,Complaint,Escalated,586,001-835-582-8738,Staffordtown
133,AGT034,Steven Mack,Account Management,2025-05-27 15:01:06,3242,Outbound,3.9,Account Access,Dropped,239,(470)603-6494,North Cindyhaven
134,AGT035,Paige Reed,Technical Support,2025-01-07 07:12:29,3399,Outbound,3.2,Payment Issue,Escalated,556,4812326367,South James
135,AGT036,Justin Pitts,Account Management,2025-04-23 03:32:44,149,Inbound,2.4,Account Access,Dropped,756,636.778.0371,North Samanthaburgh
136,AGT037,Dr. Victoria Carlson,Account Management,2025-03-02 20:50:38,3247,Inbound,3.8,Account Access,Dropped,412,+1-201-296-0700x99079,Smithtown
137,AGT038,Douglas Fletcher,Account Management,2025-05-01 08:38:05,1989,Outbound,3.8,Complaint,Dropped,241,+1-717-656-0031,Michelefurt
138,AGT039,Gregory Gardner,General Inquiry,2025-01-01 02:38:42,3224,Inbound,4.2,Technical Fault,Resolved,373,001-594-243-0880x5558,North Sean
139,AGT040,Andrew Alvarez,Account Management,2025-01-26 03:31:43,2244,Inbound,1.6,Order Status,Escalated,184,836.524.2970x3034,Catherinebury
140,AGT041,Michael Booker,Sales,2025-05-26 11:00:54,1373,Outbound,3.7,Payment Issue,Dropped,695,914-828-7776,Toddtown
141,AGT042,Ruben Simpson,Billing,2025-01-29 02:17:02,3213,Outbound,2.3,Complaint,Resolved,703,001-608-932-9995x7861,Lake Jason
142,AGT043,Lauren Carroll,Account Management,2025-03-31 02:30:23,2362,Inbound,1.6,Payment Issue,Escalated,74,001-789-741-5665x822,Port Laurenfurt
143,AGT044,Christine Henderson,Sales,2025-06-06 22:16:57,2355,Outbound,2.6,Complaint,Resolved,570,(294)945-9669,East Kaitlynview
144,AGT045,Stephanie Lee,Technical Support,2025-01-28 05:07:13,1791,Inbound,3.5,Account Access,Follow-up Required,802,001-959-885-6218x79672,Watersstad
145,AGT046,Justin Mccoy,Technical Support,2025-05-03 20:49:04,549,Inbound,4.6,Payment Issue,Follow-up Required,817,(995)908-3811x879,East Shannonshire
146,AGT047,Julie Dodson,General Inquiry,2025-03-26 09:15:37,2863,Outbound,3.9,Order Status,Dropped,736,+1-710-665-5365x703,South Janice
147,AGT048,Jeremy Benson,General Inquiry,2025-02-23 11:16:22,1225,Inbound,3.6,Product Info,Follow-up Required,866,272.466.9069x0959,Lake Meganville
148,AGT049,Pamela Pearson,Billing,2025-05-21 15:12:55,1191,Inbound,2.4,Order Status,Dropped,829,001-991-242-8288x377,South Donnaview
149,AGT050,Christina Gallagher,Account Management,2025-06-14 00:43:54,405,Outbound,2.4,Network Problem,Escalated,557,001-333-667-2403x6704,Webstermouth
150,AGT001,Tyler Allen,Account Management,2025-04-27 05:48:37,1629,Outbound,2.9,Account Access,Escalated,26,+1-355-965-5320x48808,North Katelynport
151,AGT002,John Cook,Sales,2025-01-04 16:01:14,1588,Outbound,4.1,Account Access,Resolved,736,203-886-7439x46457,West Marilyn
152,AGT003,Christopher Williams,Account Management,2025-03-19 11:18:36,2530,Outbound,3.1,Complaint,Escalated,877,+1-880-637-4527x5322,Mauricechester
153,AGT004,Paul Gardner,General Inquiry,2025-01-19 18:41:30,2066,Inbound,3.9,Network Problem,Escalated,327,230.679.8780x4014,Hodgesview
154,AGT005,Nathan Morgan,Account Management,2025-01-29 21:31:02,3101,Inbound,1.2,Order Status,Follow-up Required,697,+1-948-500-7633x03785,East Kevinmouth
155,AGT006,Rachel Chapman,Account Management,2025-06-18 11:36:25,2665,Inbound,1.7,Order Status,Escalated,377,998.765.7087,South Rachael
156,AGT007,Rebecca Sullivan,Sales,2025-06-03 08:48:00,152,Outbound,3.7,Technical Fault,Follow-up Required,773,(298)952-7888,Port Connieport
157,AGT008,Jessica Henry,Account Management,2025-04-12 21:02:16,3010,Inbound,3.5,Order Status,Dropped,582,001-924-473-1916x02782,Daviston
158,AGT009,Laura Callahan,Billing,2025-03-19 03:51:41,2786,Outbound,1.5,Product Info,Escalated,797,+1-808-363-4975x7851,West Kristenton
159,AGT010,Amber Hampton,Sales,2025-06-07 17:23:22,1129,Outbound,2.0,Account Access,Dropped,471,976.276.2391x0679,East Brandiport
160,AGT011,William Weber,Technical Support,2025-04-24 12:37:19,604,Inbound,2.4,Technical Fault,Follow-up Required,190,251-413-4517x37101,Lake Thomaston
161,AGT012,Sandra Adams,Technical Support,2025-01-27 18:23:45,2829,Outbound,3.1,Account Access,Follow-up Required,808,001-512-821-5892x256,Heathermouth
162,AGT013,Jennifer Coleman,Technical Support,2025-01-20 01:54:53,3578,Outbound,4.8,Account Access,Resolved,348,(302)833-5874x43476,Hollyburgh
163,AGT014,Meredith Logan,Technical Support,2025-06-29 12:51:45,1097,Outbound,1.3,Order Status,Follow-up Required,191,4796184563,Bonniemouth
164,AGT015,Katherine Stout,Account Management,2025-01-29 03:02:56,758,Inbound,4.7,Product Info,Dropped,171,848.512.7317x18197,East Dawnstad
165,AGT016,Jeffrey Garza,Account Management,2025-06-04 05:08:12,2443,Outbound,1.9,Order Status,Escalated,351,886-912-5099x5572,Griffinberg
166,AGT017,Anthony Adams,Billing,2025-02-10 04:17:11,945,Outbound,4.4,Account Access,Resolved,573,001-738-839-4942x5814,East Ashleyville
167,AGT018,Ian Reyes,Sales,2025-06-16 03:40:56,1528,Outbound,1.1,Order Status,Dropped,531,001-859-832-6952x06555,Lisaberg
168,AGT019,Regina Thomas,Account Management,2025-01-11 12:01:46,3512,Outbound,3.2,Payment Issue,Follow-up Required,774,664.540.1788x29962,Lake Rachel
169,AGT020,Elizabeth Melton,Sales,2025-01-31 19:20:04,3408,Inbound,2.0,Payment Issue,Escalated,313,848-886-1324,Port Matthewhaven
170,AGT021,James Oliver,General Inquiry,2025-04-08 14:38:08,3406,Outbound,3.3,Technical Fault,Resolved,492,998.608.1783,Port Aaronville
171,AGT022,Mike Lewis,Technical Support,2025-01-31 20:35:52,222,Inbound,1.8,Technical Fault,Follow-up Required,595,(787)679-0861x31991,Sanchezburgh
172,AGT023,Monica Zhang,Sales,2025-04-19 10:59:53,3279,Outbound,1.2,Technical Fault,Follow-up Required,215,001-659-642-0546x9115,Amyport
173,AGT024,Christopher Kim,Sales,2025-04-21 22:39:30,391,Outbound,2.3,Complaint,Resolved,334,516-776-9336x25063,East Craig
174,AGT025,Linda Johnson,Technical Support,2025-01-03 09:40:59,469,Inbound,1.9,Network Problem,Follow-up Required,634,(934)283-8481,Lake Rodney
175,AGT026,James Bailey,Account Management,2025-03-25 04:38:00,1979,Outbound,3.9,Account Access,Resolved,243,001-617-908-5156,Lake Nicholasview
176,AGT027,William Figueroa,Account Management,2025-03-11 10:03:12,3517,Inbound,2.3,Payment Issue,Follow-up Required,866,2049842931,New Crystal
177,AGT028,Kathryn Bell,Billing,2025-05-03 17:03:56,1191,Outbound,4.8,Technical Fault,Resolved,36,+1-946-217-5691x7245,Castroborough
178,AGT029,Tamara Johnson,Technical Support,2025-01-04 13:53:40,1900,Outbound,2.5,Account Access,Resolved,712,(208)399-0063,Jasonview
179,AGT030,Michael Nguyen,General Inquiry,2025-03-08 00:19:34,276,Outbound,3.4,Technical Fault,Escalated,775,3394926973,North Alexa
180,AGT031,Willie Jones,Billing,2025-05-04 14:05:12,1142,Inbound,2.4,Network Problem,Follow-up Required,411,(460)232-4716,Lake Josephchester
181,AGT032,Robert Sexton,Technical Support,2025-02-28 09:50:24,1385,Inbound,3.2,Technical Fault,Dropped,426,535.215.1475,Port Jonathan
182,AGT033,Julia Mcmillan,Sales,2025-05-13 23:46:40,3569,Outbound,4.1,Account Access,Dropped,811,001-845-332-9648x212,Williamsburgh
