loan_id,customer_id,customer_name,age,income,credit_score,loan_amount,loan_term_months,interest_rate,loan_purpose,loan_type,region,employment_status,debt_to_income_ratio,loan_status,approval_date,funded_date
17,CUST0017,Amy Allison,55,143354,423,134973,24,4.17,Personal,Mortgage,Central,Self-Employed,10.8,Approved,2023-03-27,2023-09-16
18,CUST0018,Jacqueline Robinson,62,40433,534,40337,12,12.53,Auto,Auto,West,Self-Employed,12.8,Rejected,2024-07-12,
19,CUST0019,Taylor Frost,58,176050,784,132400,48,11.98,Home,Student,East,Retired,17.6,Approved,2023-07-20,2025-05-28
20,CUST0020,Michael Reed,48,147427,355,358036,12,4.14,Home,Mortgage,South,Self-Employed,39.1,Rejected,2023-05-10,
21,CUST0021,Eric Howard,30,135593,487,151037,48,6.12,Business,Business,North,Employed,46.9,Rejected,2024-05-23,
22,CUST0022,Gregory Castillo,56,28868,395,490683,24,5.25,Auto,Student,North,Self-Employed,29.4,Under Review,2023-01-27,
23,CUST0023,Mark Yang,46,94521,765,154552,48,10.81,Personal,Student,South,Self-Employed,39.2,Approved,2023-02-26,2023-09-26
24,CUST0024,Jason Peterson,25,176828,362,397154,36,4.1,Personal,Business,South,Employed,33.4,Rejected,2024-02-08,
25,CUST0025,Derrick Wyatt,27,73712,370,316969,12,10.59,Home,Business,South,Employed,19.4,Rejected,2024-04-16,
26,CUST0026,Jessica Hansen,48,197326,835,170868,36,5.64,Auto,Auto,West,Self-Employed,38.6,Under Review,2024-05-24,
27,CUST0027,Jay Mathews,41,144858,623,492073,12,3.6,Personal,Personal,North,Self-Employed,34.8,Approved,2024-05-03,2024-10-24
28,CUST0028,David Holmes,30,116490,370,465990,24,7.38,Personal,Auto,Central,Employed,16.3,Rejected,2024-10-19,
29,CUST0029,Joseph Davis,57,103480,406,497269,24,6.28,Debt Consolidation,Business,South,Unemployed,45.6,Under Review,2024-02-20,
30,CUST0030,Allison Shaffer,35,114884,508,365446,36,8.81,Home,Personal,West,Unemployed,20.0,Approved,2023-12-11,2024-10-13
31,CUST0031,Raven Norman,43,59293,568,89715,48,9.29,Home,Personal,North,Self-Employed,27.1,Rejected,2023-10-16,
32,CUST0032,Lisa Moody,45,177701,451,230332,24,3.94,Home,Auto,South,Self-Employed,24.6,Rejected,2023-03-16,
33,CUST0033,Katie Lewis,44,171770,716,330405,24,13.22,Auto,Mortgage,West,Employed,19.5,Approved,2023-03-28,2024-07-20
34,CUST0034,Michelle Hawkins,33,112080,721,425602,24,6.3,Home,Student,North,Retired,41.5,Under Review,2024-10-28,
35,CUST0035,Joseph Chang,51,116660,612,435197,24,5.84,Business,Auto,East,Employed,36.4,Rejected,2023-08-05,
36,CUST0036,Lisa Mccullough,39,117050,821,214546,60,6.98,Education,Mortgage,Central,Unemployed,11.1,Approved,2023-06-10,2024-12-15
37,CUST0037,Monica Watkins,24,53417,744,186239,36,8.08,Home,Student,Central,Self-Employed,49.4,Under Review,2023-10-30,
38,CUST0038,Kenneth Jackson,49,25443,832,490267,60,10.71,Debt Consolidation,Mortgage,East,Retired,47.6,Approved,2023-08-06,2024-04-29
39,CUST0039,Jeffrey Boyd,64,111559,621,352806,12,11.06,Education,Student,East,Retired,22.0,Under Review,2024-03-28,
40,CUST0040,Heather Martin,57,58367,496,225434,48,10.61,Personal,Business,East,Retired,46.1,Rejected,2023-07-02,
41,CUST0041,Thomas Cole,22,104658,593,115196,48,11.75,Education,Student,West,Retired,34.3,Rejected,2024-04-26,
42,CUST0042,Terri Martinez,54,149042,473,350427,12,6.48,Personal,Auto,North,Self-Employed,36.6,Rejected,2024-02-02,
43,CUST0043,Marissa Hernandez,36,77200,450,17805,12,6.07,Home,Student,West,Self-Employed,29.0,Rejected,2023-03-09,
44,CUST0044,Julia White,46,154598,709,132918,24,10.39,Home,Student,South,Self-Employed,10.2,Approved,2024-11-12,2025-05-30
45,CUST0045,Linda Brooks,55,146778,351,297241,24,13.13,Auto,Student,Central,Unemployed,14.9,Rejected,2024-06-30,
46,CUST0046,Amy Ashley,50,185603,816,228735,60,8.18,Business,Student,East,Self-Employed,16.4,Approved,2024-09-01,2025-02-05
47,CUST0047,Nathan Taylor,62,97695,833,259068,24,6.38,Education,Mortgage,East,Unemployed,13.1,Approved,2024-07-27,2024-12-15
48,CUST0048,Erin Adams,42,166597,382,77547,24,5.93,Debt Consolidation,Mortgage,North,Retired,37.8,Under Review,2024-06-02,
49,CUST0049,Nicole Johnson,56,147139,725,37645,24,12.25,Personal,Personal,Central,Retired,25.6,Approved,2024-06-15,2025-01-20
50,CUST0050,Anthony Durham,52,26545,660,161559,48,12.46,Business,Business,Central,Self-Employed,48.1,Under Review,2024-05-25,
51,CUST0051,Robert Clark,39,139251,797,20217,48,7.03,Business,Mortgage,West,Self-Employed,37.2,Rejected,2024-10-25,
52,CUST0052,Alexander Bass,56,32069,703,315322,60,10.46,Business,Mortgage,West,Self-Employed,13.4,Approved,2024-02-14,2025-02-07
53,CUST0053,Sarah Bell,25,93198,688,176627,24,8.27,Business,Auto,West,Unemployed,23.5,Under Review,2024-02-24,
54,CUST0054,Andrew Edwards,52,30081,353,188480,24,10.33,Debt Consolidation,Personal,North,Self-Employed,41.2,Approved,2023-12-28,2025-03-07
55,CUST0055,Kelly Casey,23,187879,456,130066,24,8.47,Auto,Student,East,Unemployed,14.6,Approved,2023-02-21,2023-07-04
56,CUST0056,John Jones,60,55024,467,168073,12,9.58,Personal,Student,West,Self-Employed,47.2,Approved,2023-06-20,2024-03-30
57,CUST0057,Daniel Wilson,62,88661,404,370529,36,12.43,Home,Business,North,Unemployed,34.0,Rejected,2024-05-23,
58,CUST0058,Jacob Shaffer,64,122142,370,270269,36,3.63,Business,Personal,West,Unemployed,26.8,Rejected,2023-06-17,
59,CUST0059,Sarah Boone,51,65105,745,97346,60,13.64,Personal,Student,West,Retired,20.8,Approved,2023-05-23,2025-05-07
60,CUST0060,Jamie Wright,59,95358,630,451542,24,12.22,Business,Mortgage,West,Retired,13.5,Approved,2023-10-16,2025-03-04
61,CUST0061,Nancy Pacheco,53,110200,486,260616,24,7.23,Education,Business,East,Employed,20.3,Rejected,2023-07-26,
62,CUST0062,Kim Campbell,34,47442,547,382526,48,8.63,Debt Consolidation,Student,West,Retired,40.3,Rejected,2024-04-14,
63,CUST0063,Richard Reyes,27,102132,526,217022,24,6.72,Business,Business,Central,Unemployed,33.3,Under Review,2024-09-07,
64,CUST0064,James Chambers,57,111714,660,373498,48,6.34,Home,Mortgage,East,Employed,20.1,Under Review,2023-01-03,
65,CUST0065,Ann Cowan,33,75211,521,392241,48,6.4,Personal,Business,East,Employed,33.6,Rejected,2024-12-26,
66,CUST0066,Karen Dalton,40,84633,669,99079,36,3.65,Education,Personal,North,Unemployed,31.4,Under Review,2024-07-25,
67,CUST0067,Craig Garrett,30,192213,802,58785,12,9.53,Business,Auto,South,Employed,28.8,Approved,2023-05-13,2024-01-19
68,CUST0068,John Adams,38,150233,416,436025,12,7.71,Debt Consolidation,Personal,South,Self-Employed,13.0,Rejected,2023-09-10,
69,CUST0069,Thomas Garcia,41,47329,554,67102,60,11.53,Personal,Mortgage,Central,Retired,34.3,Under Review,2023-07-04,
70,CUST0070,Destiny Holland,50,102949,739,165107,60,10.02,Debt Consolidation,Personal,South,Self-Employed,34.4,Approved,2023-12-14,2024-03-31
71,CUST0071,Rebecca Montes,27,66171,545,96128,60,4.29,Business,Business,West,Unemployed,10.1,Approved,2024-02-28,2024-09-07
72,CUST0072,Breanna Jones,40,99112,764,42318,24,13.2,Debt Consolidation,Business,South,Retired,41.5,Approved,2023-01-24,2024-12-26
73,CUST0073,Christy Miller,36,194773,452,481269,36,12.18,Auto,Auto,Central,Unemployed,12.9,Under Review,2024-02-02,
74,CUST0074,Anthony Martinez,51,104715,712,499233,36,8.75,Home,Business,North,Retired,29.8,Approved,2024-09-26,2025-05-25
75,CUST0075,Angie Cantu,42,183259,556,18560,12,5.9,Personal,Business,North,Unemployed,37.0,Rejected,2024-02-12,
76,CUST0076,Kim Newton,33,148338,831,346578,48,13.12,Personal,Student,West,Employed,17.3,Approved,2024-01-12,2024-08-12
77,CUST0077,Marcus Cross,52,116215,718,179749,36,10.54,Education,Student,West,Unemployed,44.3,Rejected,2023-07-12,
78,CUST0078,Kelly Anderson,47,169204,337,243459,12,6.8,Business,Business,North,Retired,22.9,Under Review,2023-09-13,
79,CUST0079,Samuel Navarro Jr.,34,160905,670,331439,48,10.07,Auto,Auto,Central,Self-Employed,40.4,Rejected,2023-01-21,
80,CUST0080,Laura Hamilton,50,152064,424,20135,60,11.89,Education,Business,North,Retired,38.4,Approved,2024-08-24,2025-03-11
81,CUST0081,Barry Johnson,29,145965,420,344586,24,8.73,Personal,Auto,West,Retired,38.7,Rejected,2023-11-17,
82,CUST0082,Alison Bryant,37,144743,448,206109,24,13.18,Auto,Personal,East,Retired,30.3,Under Review,2024-02-10,
83,CUST0083,Thomas Fields,54,95037,302,153289,36,12.29,Debt Consolidation,Student,South,Retired,33.2,Rejected,2024-12-05,
84,CUST0084,Elizabeth Nelson,44,112147,686,243731,36,12.63,Auto,Business,West,Self-Employed,49.2,Rejected,2023-09-26,
85,CUST0085,Christopher Wells,48,36441,625,395439,48,10.9,Business,Mortgage,West,Employed,42.5,Approved,2023-11-24,2025-03-31
86,CUST0086,Craig Stone,59,112030,402,463327,48,4.55,Home,Mortgage,West,Self-Employed,46.4,Approved,2023-07-06,2024-12-16
87,CUST0087,Alexander Small,38,113751,707,345701,12,12.44,Personal,Student,East,Retired,44.1,Rejected,2023-05-31,
88,CUST0088,Alexander Sullivan,24,186863,370,128087,36,13.97,Business,Personal,North,Retired,39.9,Approved,2024-07-05,2024-10-22
89,CUST0089,Kendra Delacruz,41,32588,347,175065,12,6.58,Auto,Mortgage,Central,Retired,25.0,Rejected,2024-08-04,
90,CUST0090,Terri Duarte,33,69560,479,46402,60,12.64,Auto,Student,Central,Self-Employed,34.8,Under Review,2023-06-03,
91,CUST0091,Stacie Long,62,91578,770,138864,12,12.94,Education,Business,South,Employed,28.6,Approved,2023-05-05,2025-02-22
92,CUST0092,Chad Anderson,50,115587,606,339987,48,10.75,Education,Mortgage,West,Retired,28.3,Approved,2023-05-12,2025-04-08
93,CUST0093,Lori Moore,46,174926,667,306366,36,13.92,Debt Consolidation,Student,East,Employed,21.8,Approved,2024-06-15,2024-12-03
94,CUST0094,Carmen Nelson,65,37856,808,441647,36,11.65,Education,Mortgage,South,Unemployed,19.2,Approved,2024-09-25,2024-10-31
95,CUST0095,Beth Lynch,65,197800,440,334382,12,12.99,Education,Student,North,Unemployed,35.9,Rejected,2024-06-13,
96,CUST0096,Michelle Robinson,27,102361,634,396895,48,5.34,Personal,Auto,Central,Unemployed,15.3,Under Review,2023-08-15,
97,CUST0097,Rebecca Miller,38,151313,602,396412,36,11.94,Home,Mortgage,South,Retired,28.7,Rejected,2023-05-13,
98,CUST0098,Carla Gomez,57,120885,392,419545,48,3.65,Business,Auto,East,Retired,31.5,Rejected,2024-03-31,
99,CUST0099,Nicole Jones,45,53402,539,252189,12,10.01,Education,Business,South,Employed,47.7,Rejected,2023-09-22,
100,CUST0100,Gregory Ryan,51,104217,718,66171,24,3.98,Business,Personal,North,Self-Employed,11.5,Approved,2023-05-10,2024-09-08
101,CUST0101,Jasmine Simpson,56,60563,697,242839,36,10.54,Personal,Student,Central,Self-Employed,39.7,Under Review,2023-03-05,
102,CUST0102,Jose Perkins,63,50957,801,327779,48,13.36,Debt Consolidation,Auto,South,Retired,21.2,Approved,2024-01-11,2025-02-02
103,CUST0103,Kristine Juarez,50,86895,671,57090,36,9.22,Education,Personal,West,Unemployed,49.1,Approved,2024-01-31,2024-02-08
104,CUST0104,Thomas Hodges,29,144201,393,352481,24,10.24,Home,Personal,East,Self-Employed,33.9,Rejected,2023-03-16,
105,CUST0105,Ashley Wong,58,78793,370,440063,60,5.68,Auto,Auto,South,Employed,18.6,Under Review,2023-09-17,
106,CUST0106,Nancy Garcia,31,59076,556,423651,24,4.65,Auto,Personal,East,Self-Employed,44.7,Rejected,2023-05-11,
107,CUST0107,David Mitchell,23,70677,571,32472,24,11.29,Debt Consolidation,Personal,West,Retired,31.0,Rejected,2024-11-11,
108,CUST0108,Thomas Jensen,54,180625,411,241981,60,5.83,Debt Consolidation,Business,East,Retired,34.6,Rejected,2023-09-07,
109,CUST0109,Amanda Gould,23,40945,790,449228,48,7.98,Debt Consolidation,Student,North,Employed,14.3,Approved,2023-11-21,2025-01-19
110,CUST0110,Paul Johnson,42,184461,451,39436,24,6.39,Personal,Auto,West,Unemployed,35.3,Under Review,2023-12-14,
111,CUST0111,John Cummings,60,137774,401,420810,12,12.45,Personal,Mortgage,West,Retired,36.0,Rejected,2023-08-25,
112,CUST0112,Heather Delgado DDS,48,113848,764,214049,48,11.16,Education,Auto,East,Self-Employed,22.5,Approved,2024-08-16,2024-09-25
113,CUST0113,Jane Rogers,65,149326,368,52828,12,4.48,Debt Consolidation,Auto,South,Employed,13.9,Rejected,2024-12-07,
114,CUST0114,Matthew Lee,57,172241,637,356279,12,7.81,Business,Personal,East,Unemployed,44.9,Under Review,2023-07-27,
115,CUST0115,Renee Simmons,58,158015,517,86123,48,5.85,Personal,Auto,North,Unemployed,14.3,Rejected,2023-10-15,
116,CUST0116,Jennifer Miranda,49,172053,326,324288,36,3.8,Education,Auto,East,Employed,20.9,Approved,2023-02-04,2024-08-24
117,CUST0117,Alexa Hamilton,31,173457,710,41482,24,11.28,Home,Business,South,Retired,48.9,Under Review,2023-07-29,
118,CUST0118,Dr. Todd Benton,43,66263,678,168387,36,11.66,Home,Personal,South,Self-Employed,32.7,Under Review,2023-12-04,
119,CUST0119,Madison Cervantes,25,46386,578,237318,48,8.6,Education,Mortgage,Central,Employed,27.7,Under Review,2023-07-03,
120,CUST0120,Jeremy Wang,29,99251,798,281265,36,3.98,Personal,Personal,North,Self-Employed,25.8,Approved,2024-08-04,2024-09-27
121,CUST0121,Samuel Martin,41,80373,440,405640,36,6.54,Business,Student,South,Self-Employed,14.8,Under Review,2023-05-27,
122,CUST0122,Christopher Bennett,36,156140,662,42788,48,12.55,Home,Student,North,Unemployed,11.7,Approved,2024-10-05,2025-05-11
123,CUST0123,Jeffery Johnson,58,131017,727,156789,12,7.75,Auto,Business,West,Unemployed,48.6,Approved,2023-05-07,2024-06-12
124,CUST0124,Sydney Stuart,28,88783,746,313738,48,9.0,Education,Auto,South,Unemployed,25.8,Approved,2023-01-17,2025-04-28
125,CUST0125,Kim Price,32,45022,822,336992,12,9.07,Education,Auto,South,Self-Employed,17.8,Approved,2024-07-29,2024-12-21
126,CUST0126,Thomas Martinez,28,63389,562,108427,24,9.83,Debt Consolidation,Personal,South,Retired,40.4,Under Review,2023-08-05,
127,CUST0127,Lawrence Porter,58,176904,759,362110,60,10.25,Education,Auto,South,Retired,49.5,Approved,2024-06-01,2024-10-22
128,CUST0128,Cody Mcintyre,50,190513,610,422506,36,9.71,Home,Auto,West,Retired,24.1,Approved,2023-03-16,2024-01-17
129,CUST0129,David Hanson,45,100255,378,342990,12,9.96,Business,Business,Central,Employed,30.3,Under Review,2024-07-04,
130,CUST0130,Theresa Herman,58,195875,492,173572,60,8.49,Home,Student,North,Unemployed,16.0,Rejected,2023-08-21,
131,CUST0131,Abigail Gardner,27,157264,476,25521,24,10.93,Personal,Business,Central,Self-Employed,49.6,Under Review,2024-02-08,
132,CUST0132,William Clark,40,126558,718,411042,36,10.63,Debt Consolidation,Auto,North,Unemployed,12.1,Approved,2023-04-24,2023-06-09
133,CUST0133,Jimmy Bridges,28,171266,695,153974,36,11.1,Personal,Mortgage,East,Employed,36.3,Approved,2023-09-03,2024-04-27
134,CUST0134,Scott Doyle,31,116703,617,348961,48,4.85,Home,Auto,Central,Retired,38.4,Under Review,2024-04-22,
135,CUST0135,Jose Barnes,43,58500,839,53996,48,8.84,Education,Mortgage,South,Unemployed,10.7,Approved,2023-10-28,2024-10-29
136,CUST0136,Christopher Mcfarland,53,75333,531,77123,24,4.31,Home,Business,Central,Employed,43.8,Rejected,2023-04-03,
137,CUST0137,Dennis Maxwell,61,59353,685,85872,24,5.4,Personal,Mortgage,West,Employed,37.7,Approved,2023-05-05,2024-12-31
138,CUST0138,Gina Ferguson,65,87267,754,325127,36,11.4,Auto,Business,South,Unemployed,41.4,Rejected,2024-11-15,
139,CUST0139,Jared Kim,52,75860,676,360628,60,13.84,Education,Student,Central,Retired,28.5,Rejected,2023-08-20,
140,CUST0140,William Harding,34,183508,441,462704,36,4.05,Education,Business,North,Employed,29.2,Under Review,2024-03-07,
141,CUST0141,Michael Hamilton,32,96510,760,479641,60,5.05,Auto,Student,East,Employed,27.5,Approved,2023-10-03,2023-10-04
142,CUST0142,Sarah Porter,48,38960,705,268196,36,5.98,Education,Mortgage,North,Unemployed,49.8,Rejected,2024-04-17,
143,CUST0143,Hannah Clark,63,112894,449,77141,12,6.51,Debt Consolidation,Mortgage,West,Retired,43.2,Rejected,2023-01-27,
144,CUST0144,Christopher Love,27,29981,562,118065,24,9.26,Personal,Student,North,Unemployed,39.1,Under Review,2024-04-25,
145,CUST0145,Megan Berry,29,37517,544,225109,60,8.3,Business,Business,Central,Employed,14.4,Rejected,2023-04-27,
146,CUST0146,Jose Vasquez,58,88422,447,157710,48,3.52,Personal,Student,South,Employed,24.1,Rejected,2024-09-17,
147,CUST0147,Brandi Roth,45,42741,838,290255,60,11.76,Home,Student,West,Employed,30.3,Under Review,2023-06-05,
148,CUST0148,Michael Brown,45,91492,316,192220,12,7.12,Debt Consolidation,Personal,Central,Unemployed,39.3,Approved,2023-02-26,2025-04-18
149,CUST0149,Tina Church,44,168134,646,431512,24,12.22,Debt Consolidation,Student,South,Self-Employed,37.4,Approved,2024-12-16,2025-04-23
150,CUST0150,Nancy Young,51,34695,600,110691,12,11.81,Education,Auto,Central,Retired,45.4,Rejected,2023-10-17,
151,CUST0151,Mike Thomas,56,149098,559,24199,24,6.5,Home,Auto,East,Employed,44.5,Rejected,2024-09-15,
152,CUST0152,Isaac Lara,49,129863,750,474047,48,7.06,Debt Consolidation,Student,East,Unemployed,17.5,Approved,2024-07-19,2024-12-10
153,CUST0153,Theodore Mcgee,27,136280,380,230762,60,13.95,Education,Auto,North,Employed,17.2,Under Review,2024-05-11,
154,CUST0154,Brendan Wilson,40,105346,756,320947,48,5.25,Business,Personal,East,Retired,27.8,Approved,2023-07-12,2025-01-24
155,CUST0155,Deanna Flores,39,192633,358,44343,48,7.31,Debt Consolidation,Mortgage,North,Self-Employed,42.0,Rejected,2023-01-11,
156,CUST0156,Mrs. Samantha Benitez,65,139864,335,71180,12,5.98,Education,Student,Central,Employed,35.8,Rejected,2023-07-05,
157,CUST0157,Leslie Willis,65,142944,679,200042,48,11.51,Personal,Auto,West,Unemployed,33.0,Under Review,2023-09-02,
158,CUST0158,Rebecca Gilmore,37,54739,326,390705,24,8.74,Personal,Personal,East,Unemployed,25.5,Rejected,2024-06-22,
159,CUST0159,Richard Johnson,35,185399,592,368845,48,5.6,Home,Student,South,Retired,15.4,Rejected,2023-09-07,
160,CUST0160,Sherry Kidd,65,108778,655,377003,12,9.27,Education,Mortgage,South,Unemployed,21.6,Approved,2023-07-23,2025-05-07
161,CUST0161,Derek Hill,29,77685,442,129117,48,3.78,Education,Student,Central,Self-Employed,32.2,Rejected,2023-06-13,
162,CUST0162,David Rodriguez,27,42235,616,213750,48,9.02,Personal,Personal,South,Unemployed,40.8,Rejected,2024-07-11,
163,CUST0163,Rachael Banks,50,147115,829,185624,24,12.72,Debt Consolidation,Business,South,Self-Employed,41.2,Under Review,2024-11-03,
164,CUST0164,Rebecca Williams,25,57548,830,85224,36,5.23,Debt Consolidation,Mortgage,East,Unemployed,22.9,Approved,2024-10-18,2024-11-06
165,CUST0165,John Morris,27,90694,501,337952,60,6.38,Personal,Business,North,Self-Employed,35.0,Rejected,2024-04-13,
166,CUST0166,John Wilkerson,59,65421,475,350365,60,11.07,Personal,Personal,North,Employed,34.2,Approved,2023-04-10,2025-05-04
167,CUST0167,Monique Perez,63,176197,571,346379,24,11.55,Debt Consolidation,Personal,West,Unemployed,26.7,Rejected,2023-07-20,
168,CUST0168,Curtis Dawson,41,151601,550,426888,48,6.62,Home,Mortgage,West,Retired,12.9,Under Review,2023-08-17,
169,CUST0169,Amy Whitaker,35,114179,447,168883,36,11.21,Business,Mortgage,East,Employed,44.4,Under Review,2023-08-09,
170,CUST0170,Justin James,51,57118,573,240717,24,4.98,Business,Business,West,Self-Employed,12.0,Rejected,2023-08-12,
171,CUST0171,Shelly Gordon,32,110835,620,104527,24,8.73,Business,Auto,West,Employed,30.6,Approved,2024-04-26,2024-06-18
172,CUST0172,Jack Maxwell,47,157499,768,131211,24,9.63,Education,Student,Central,Retired,11.9,Approved,2023-08-01,2023-10-17
173,CUST0173,Samantha Thomas,40,165690,308,449162,12,8.02,Debt Consolidation,Auto,West,Unemployed,45.3,Approved,2024-09-19,2024-12-31
174,CUST0174,Mr. James Moon,25,174495,499,195066,60,6.53,Business,Business,East,Employed,25.5,Approved,2023-04-29,2025-05-10
175,CUST0175,Amy Johnson,28,128259,682,421755,36,9.36,Auto,Mortgage,Central,Retired,24.6,Approved,2023-07-05,2024-01-22
176,CUST0176,Angela Hill,24,35201,440,379127,36,11.94,Auto,Business,Central,Self-Employed,30.8,Under Review,2024-11-24,
177,CUST0177,Rachel Colon,61,108500,466,211021,60,11.26,Education,Business,Central,Retired,22.0,Rejected,2024-04-17,
178,CUST0178,Wendy Higgins,41,149490,317,198125,36,10.57,Personal,Auto,North,Retired,49.2,Under Review,2023-01-05,
179,CUST0179,Tyrone Case,63,176643,533,383221,12,9.63,Debt Consolidation,Business,West,Self-Employed,16.8,Rejected,2023-08-05,
180,CUST0180,Rachel Carey,37,33276,412,105025,12,8.13,Business,Mortgage,West,Retired,26.8,Rejected,2023-09-16,
181,CUST0181,Carolyn Sharp,25,61197,831,113706,60,6.91,Personal,Student,East,Self-Employed,36.5,Approved,2024-07-20,2024-09-19
182,CUST0182,Mrs. Natalie Larson,56,114738,662,359349,36,9.91,Auto,Auto,Central,Unemployed,17.7,Approved,2024-10-07,2024-10-16
183,CUST0183,Denise Griffin,41,100760,512,366884,48,6.83,Debt Consolidation,Auto,East,Employed,24.0,Rejected,2024-04-25,
184,CUST0184,Justin Frazier,56,124534,704,434065,36,13.52,Education,Personal,East,Employed,42.2,Under Review,2023-06-28,
185,CUST0185,Anthony White,50,196959,562,396820,48,5.75,Education,Business,East,Self-Employed,43.1,Approved,2024-11-13,2025-02-04
186,CUST0186,Robert Young,59,87726,548,31615,60,5.87,Home,Student,East,Retired,19.3,Approved,2023-03-25,2023-05-06
187,CUST0187,Nicholas Chavez,30,26358,461,218336,48,8.51,Education,Auto,East,Employed,18.0,Rejected,2023-03-27,
188,CUST0188,Tyler Landry,27,195996,537,285573,12,13.09,Auto,Personal,West,Retired,17.0,Approved,2024-12-29,2025-01-19
189,CUST0189,Cindy Brown,40,34821,309,161443,60,9.83,Education,Auto,West,Retired,47.1,Rejected,2023-12-05,
190,CUST0190,Greg Valenzuela,30,157176,779,148045,24,11.99,Debt Consolidation,Student,East,Self-Employed,23.2,Approved,2024-05-27,2024-06-05
191,CUST0191,Sandra Rodriguez,22,113371,602,302680,24,5.34,Business,Student,Central,Unemployed,44.2,Approved,2024-04-08,2025-05-01
192,CUST0192,Rebecca Cruz,64,50004,489,78721,48,6.9,Education,Student,South,Retired,19.9,Rejected,2023-01-22,
193,CUST0193,Paul Stevenson,43,104153,311,142129,36,10.77,Home,Student,East,Self-Employed,12.5,Under Review,2023-09-12,
194,CUST0194,Ashley Caldwell,54,106521,420,339868,36,7.36,Auto,Student,South,Retired,18.8,Rejected,2023-07-16,
195,CUST0195,Samantha King,60,122943,725,373019,60,13.08,Debt Consolidation,Mortgage,South,Employed,40.3,Rejected,2024-02-03,
196,CUST0196,Ian Maldonado,55,119839,379,485900,60,4.68,Personal,Mortgage,Central,Self-Employed,43.2,Approved,2023-05-19,2023-10-26
197,CUST0197,Jasmine Yang MD,55,140825,419,361670,24,11.03,Personal,Student,North,Retired,29.6,Approved,2024-12-23,2025-03-29
198,CUST0198,Heather Liu,48,144746,359,297970,48,10.56,Home,Student,East,Employed,22.3,Rejected,2023-08-14,
199,CUST0199,Angela Simon,59,44144,346,227139,36,10.85,Home,Personal,West,Employed,31.6,Under Review,2023-02-13,
200,CUST0200,Joseph Morgan,33,60501,730,201325,48,8.21,Business,Student,North,Self-Employed,46.7,Rejected,2024-05-13,
201,CUST0201,Erik Morse,44,56098,482,286678,48,9.05,Auto,Personal,North,Unemployed,39.1,Under Review,2024-12-04,
202,CUST0202,Misty George,56,136182,844,203850,24,6.1,Education,Mortgage,North,Employed,23.8,Approved,2024-07-19,2024-11-24
203,CUST0203,Taylor Johnston,64,134901,316,131178,24,4.21,Business,Business,North,Self-Employed,33.8,Rejected,2024-09-18,
204,CUST0204,Jessica Craig,47,140071,539,287989,24,11.42,Auto,Business,East,Self-Employed,41.0,Rejected,2023-06-12,
205,CUST0205,Elizabeth Riley,58,108598,628,129205,36,12.7,Personal,Mortgage,West,Unemployed,49.4,Under Review,2024-04-22,
206,CUST0206,Donna Watts,57,180101,479,333200,48,9.34,Education,Student,Central,Unemployed,11.9,Rejected,2023-09-21,
