sale_id,date,sales_rep_id,sales_rep_name,region,territory,product_category,customer_id,deal_size,deal_value,commission_rate,commission_amount,target_amount,target_achievement_pct,fiscal_quarter,fiscal_year,deal_stage,days_to_close,forecast_category
50,2024-12-04,REP01,Grace Lee,APAC,Stantonstad Territory,Services,CUST0050,Small,450701.99,0.047,21182.99,531011.4,87.8,Q4,2024,Closed Won,171,Pipeline
51,2024-03-27,REP02,Alice Johnson,APAC,New Ryanstad Territory,Consulting,CUST0051,Small,356963.43,0.048,17134.24,343071.33,51.2,Q2,2024,Negotiation,,Pipeline
52,2024-11-21,REP03,Diana Prince,South Asia,Dennismouth Territory,Services,CUST0052,Small,303290.43,0.077,23353.36,382611.99,0.0,Q3,2024,Qualification,,Best Case
53,2024-08-22,REP04,Jack Taylor,North America,Christopherfurt Territory,Services,CUST0053,Medium,125912.36,0.057,7177.0,153192.91,0.0,Q1,2024,Closed Lost,,Upside
54,2024-10-05,REP05,Henry Wilson,Latin America,North Paul Territory,Cloud Platform,CUST0054,Enterprise,184409.63,0.051,9404.89,232799.71,0.0,Q2,2024,Prospecting,,Commit
55,2025-08-26,REP06,Charlie Brown,North America,Port Brucemouth Territory,Hardware,CUST0055,Medium,175005.61,0.047,8225.26,187603.7,131.4,Q1,2025,Closed Won,18,Omitted
56,2024-06-09,REP07,Grace Lee,EMEA,Brookeborough Territory,Hardware,CUST0056,Large,76384.64,0.098,7485.69,101884.52,17.6,Q3,2024,Proposal,,Best Case
57,2025-05-15,REP08,Bob Smith,South Asia,Georgeborough Territory,Hardware,CUST0057,Medium,215381.46,0.087,18738.19,293948.02,121.8,Q3,2025,Closed Won,56,Best Case
58,2025-09-29,REP09,Frank Miller,Latin America,West Meagan Territory,Services,CUST0058,Enterprise,56244.75,0.079,4443.34,48564.33,20.5,Q2,2025,Proposal,,Omitted
59,2024-06-13,REP10,Frank Miller,Latin America,Tylershire Territory,Consulting,CUST0059,Medium,421754.47,0.024,10122.11,327606.06,60.7,Q1,2024,Negotiation,,Upside
60,2025-02-03,REP01,Charlie Brown,Latin America,Whitechester Territory,Cloud Platform,CUST0060,Medium,333911.08,0.075,25043.33,428843.81,18.5,Q3,2025,Proposal,,Omitted
61,2024-08-10,REP02,Eve Davis,South Asia,Kelleybury Territory,Cloud Platform,CUST0061,Large,414991.74,0.087,36104.28,538889.4,120.8,Q4,2024,Closed Won,83,Commit
62,2025-07-03,REP03,Bob Smith,North America,North Dylan Territory,Cloud Platform,CUST0062,Medium,112076.63,0.049,5491.75,153942.22,121.5,Q1,2025,Closed Won,28,Commit
63,2024-09-01,REP04,Henry Wilson,EMEA,Nguyenburgh Territory,Hardware,CUST0063,Medium,117311.42,0.06,7038.69,149852.19,94.8,Q1,2024,Closed Won,79,Commit
64,2025-09-18,REP05,Eve Davis,APAC,South Adamfurt Territory,Cloud Platform,CUST0064,Large,474585.61,0.07,33220.99,585987.74,119.3,Q1,2025,Closed Won,169,Pipeline
65,2025-01-14,REP06,Alice Johnson,EMEA,East Sheila Territory,Consulting,CUST0065,Medium,485635.87,0.039,18939.8,444362.78,0.0,Q3,2025,Prospecting,,Commit
66,2025-08-04,REP07,Diana Prince,North America,Wongport Territory,Services,CUST0066,Small,173150.54,0.078,13505.74,254796.03,84.7,Q3,2025,Closed Won,170,Best Case
67,2025-04-13,REP08,Iris Chen,APAC,Henrymouth Territory,Services,CUST0067,Medium,249485.67,0.065,16216.57,268403.84,39.6,Q3,2025,Proposal,,Pipeline
68,2024-08-17,REP09,Iris Chen,North America,Cunninghamfort Territory,Software,CUST0068,Medium,42596.83,0.06,2555.81,37465.12,118.9,Q3,2024,Closed Won,61,Pipeline
69,2024-08-04,REP10,Charlie Brown,EMEA,West Nicholas Territory,Services,CUST0069,Enterprise,312465.02,0.099,30934.04,463029.6,38.6,Q1,2024,Proposal,,Commit
70,2024-04-13,REP01,Alice Johnson,Latin America,Langland Territory,Cloud Platform,CUST0070,Small,47448.94,0.073,3463.77,41792.2,105.8,Q4,2024,Closed Won,63,Omitted
71,2024-06-16,REP02,Diana Prince,EMEA,Robertstad Territory,Consulting,CUST0071,Medium,49219.6,0.046,2264.1,49872.14,53.7,Q3,2024,Negotiation,,Pipeline
72,2024-04-25,REP03,Charlie Brown,North America,Blakeport Territory,Hardware,CUST0072,Medium,353193.33,0.037,13068.15,249647.99,0.0,Q4,2024,Qualification,,Upside
73,2024-11-06,REP04,Frank Miller,EMEA,Samanthaburgh Territory,Services,CUST0073,Medium,273718.89,0.08,21897.51,347802.95,0.0,Q2,2024,Qualification,,Best Case
74,2025-02-27,REP05,Jack Taylor,EMEA,Nguyenborough Territory,Cloud Platform,CUST0074,Small,234796.31,0.096,22540.45,251521.1,14.3,Q4,2025,Proposal,,Commit
75,2024-05-01,REP06,Grace Lee,APAC,Walkerbury Territory,Consulting,CUST0075,Medium,377854.52,0.049,18514.87,532520.8,64.5,Q3,2024,Negotiation,,Pipeline
76,2025-12-12,REP07,Jack Taylor,APAC,Williamsmouth Territory,Hardware,CUST0076,Large,331578.79,0.037,12268.42,358452.3,124.9,Q4,2025,Closed Won,19,Commit
77,2025-05-01,REP08,Eve Davis,APAC,Ballborough Territory,Services,CUST0077,Large,105832.67,0.061,6455.79,139511.01,128.9,Q2,2025,Closed Won,46,Omitted
78,2024-06-23,REP09,Charlie Brown,Latin America,Georgeburgh Territory,Services,CUST0078,Medium,222956.99,0.059,13154.46,206932.52,34.0,Q2,2024,Proposal,,Best Case
79,2025-01-04,REP10,Eve Davis,APAC,Stonefurt Territory,Software,CUST0079,Medium,414700.08,0.076,31517.21,435613.06,0.0,Q2,2025,Qualification,,Commit
80,2025-06-04,REP01,Diana Prince,Latin America,Williamstad Territory,Software,CUST0080,Enterprise,196153.2,0.081,15888.41,149379.05,0.0,Q4,2025,Qualification,,Best Case
81,2024-01-06,REP02,Bob Smith,South Asia,Froststad Territory,Software,CUST0081,Large,282923.92,0.023,6507.25,327223.09,62.3,Q4,2024,Negotiation,,Upside
82,2024-04-20,REP03,Jack Taylor,Latin America,Kellyport Territory,Software,CUST0082,Medium,334425.47,0.067,22406.51,395912.29,29.4,Q1,2024,Proposal,,Upside
83,2024-05-11,REP04,Diana Prince,Latin America,Whiteborough Territory,Software,CUST0083,Small,161582.85,0.079,12765.05,116329.48,44.9,Q4,2024,Negotiation,,Upside
84,2024-06-23,REP05,Jack Taylor,North America,New Victorberg Territory,Cloud Platform,CUST0084,Large,298448.88,0.057,17011.59,238794.52,135.1,Q2,2024,Closed Won,44,Upside
85,2024-02-18,REP06,Charlie Brown,North America,East Leviborough Territory,Cloud Platform,CUST0085,Enterprise,44424.91,0.023,1021.77,65433.2,0.0,Q4,2024,Qualification,,Best Case
86,2024-12-10,REP07,Henry Wilson,EMEA,West Bradleyside Territory,Hardware,CUST0086,Large,360527.86,0.038,13700.06,278372.43,11.5,Q2,2024,Proposal,,Best Case
87,2024-11-26,REP08,Charlie Brown,North America,South Nicole Territory,Services,CUST0087,Small,465258.84,0.052,24193.46,499429.19,41.1,Q4,2024,Negotiation,,Omitted
88,2024-05-30,REP09,Iris Chen,Latin America,North Christopher Territory,Consulting,CUST0088,Enterprise,175960.31,0.048,8446.09,143647.93,0.0,Q2,2024,Qualification,,Best Case
89,2025-09-21,REP10,Alice Johnson,Latin America,Lake Lauren Territory,Consulting,CUST0089,Large,441346.97,0.087,38397.19,361498.64,44.2,Q4,2025,Negotiation,,Upside
90,2025-11-15,REP01,Iris Chen,APAC,Washingtonside Territory,Hardware,CUST0090,Enterprise,122459.34,0.033,4041.16,108830.92,0.0,Q4,2025,Qualification,,Upside
91,2025-12-19,REP02,Henry Wilson,North America,South Leah Territory,Cloud Platform,CUST0091,Enterprise,42774.55,0.088,3764.16,63280.99,125.4,Q4,2025,Closed Won,68,Upside
92,2025-12-16,REP03,Grace Lee,North America,West Aaronberg Territory,Cloud Platform,CUST0092,Medium,437585.57,0.055,24067.21,563731.89,0.0,Q4,2025,Qualification,,Pipeline
93,2024-05-25,REP04,Jack Taylor,EMEA,North Marissaborough Territory,Services,CUST0093,Large,474461.25,0.031,14708.3,409780.03,132.6,Q2,2024,Closed Won,35,Upside
94,2025-09-24,REP05,Jack Taylor,APAC,Jessicaton Territory,Software,CUST0094,Large,370635.05,0.026,9636.51,320649.64,118.8,Q3,2025,Closed Won,129,Commit
95,2024-07-28,REP06,Charlie Brown,EMEA,South Johnmouth Territory,Services,CUST0095,Large,289176.12,0.072,20820.68,237450.17,127.7,Q2,2024,Closed Won,22,Omitted
96,2025-05-14,REP07,Henry Wilson,North America,Guzmanton Territory,Hardware,CUST0096,Medium,312919.67,0.074,23156.06,360869.82,0.0,Q2,2025,Prospecting,,Upside
97,2024-09-15,REP08,Alice Johnson,EMEA,South Nancy Territory,Hardware,CUST0097,Large,356085.62,0.052,18516.45,284641.54,0.0,Q4,2024,Closed Lost,,Best Case
98,2024-05-21,REP09,Charlie Brown,APAC,South Briannashire Territory,Services,CUST0098,Large,303469.56,0.036,10924.9,318813.7,101.5,Q4,2024,Closed Won,168,Upside
99,2024-05-19,REP10,Charlie Brown,APAC,Leachberg Territory,Software,CUST0099,Enterprise,283137.31,0.06,16988.24,282052.44,0.0,Q2,2024,Qualification,,Pipeline
100,2024-06-22,REP01,Eve Davis,South Asia,Wattsland Territory,Hardware,CUST0100,Enterprise,400902.84,0.032,12828.89,507829.93,112.0,Q2,2024,Closed Won,126,Upside
101,2024-09-29,REP02,Henry Wilson,APAC,Port Becky Territory,Cloud Platform,CUST0101,Medium,250382.1,0.094,23535.92,332990.02,22.8,Q4,2024,Proposal,,Pipeline
102,2025-06-11,REP03,Henry Wilson,North America,Shannonton Territory,Services,CUST0102,Enterprise,147752.06,0.034,5023.57,186465.45,87.6,Q4,2025,Closed Won,117,Omitted
103,2024-08-15,REP04,Jack Taylor,APAC,East Susanshire Territory,Hardware,CUST0103,Large,493222.62,0.082,40444.25,690144.73,42.7,Q3,2024,Negotiation,,Omitted
104,2024-08-22,REP05,Henry Wilson,North America,Gillton Territory,Consulting,CUST0104,Small,35488.38,0.029,1029.16,48352.12,0.0,Q2,2024,Qualification,,Pipeline
105,2024-11-27,REP06,Diana Prince,Latin America,North David Territory,Cloud Platform,CUST0105,Small,344798.69,0.075,25859.9,374226.49,0.0,Q2,2024,Qualification,,Omitted
106,2024-10-19,REP07,Frank Miller,Latin America,South Robert Territory,Services,CUST0106,Large,171972.05,0.056,9630.43,151685.46,54.5,Q3,2024,Negotiation,,Omitted
107,2025-02-13,REP08,Bob Smith,North America,Alexanderborough Territory,Services,CUST0107,Small,131641.3,0.061,8030.12,175948.04,117.0,Q4,2025,Closed Won,79,Upside
108,2025-11-20,REP09,Frank Miller,Latin America,Lake Heather Territory,Consulting,CUST0108,Medium,239229.37,0.025,5980.73,172427.27,0.0,Q3,2025,Qualification,,Best Case
109,2024-01-31,REP10,Eve Davis,South Asia,East Ericmouth Territory,Software,CUST0109,Large,404798.73,0.085,34407.89,419734.28,79.0,Q1,2024,Negotiation,,Omitted
110,2025-07-24,REP01,Grace Lee,Latin America,West Erinberg Territory,Software,CUST0110,Small,97836.69,0.086,8413.96,136787.39,0.0,Q3,2025,Prospecting,,Upside
111,2024-03-16,REP02,Alice Johnson,APAC,Schwartzberg Territory,Consulting,CUST0111,Enterprise,369156.29,0.031,11443.84,327823.63,93.3,Q2,2024,Closed Won,40,Upside
112,2024-01-08,REP03,Jack Taylor,Latin America,South Mathewview Territory,Software,CUST0112,Large,300769.93,0.024,7218.48,280567.96,0.0,Q2,2024,Qualification,,Omitted
113,2024-10-26,REP04,Jack Taylor,Latin America,Sandraport Territory,Software,CUST0113,Medium,424140.79,0.066,27993.29,298943.95,114.2,Q3,2024,Closed Won,35,Commit
114,2024-08-22,REP05,Bob Smith,Latin America,North Elizabethmouth Territory,Software,CUST0114,Medium,262589.89,0.027,7089.93,358733.94,46.2,Q4,2024,Negotiation,,Pipeline
115,2024-06-06,REP06,Henry Wilson,North America,Martinezfort Territory,Services,CUST0115,Small,153147.6,0.075,11486.07,157580.81,57.1,Q3,2024,Negotiation,,Upside
116,2024-09-24,REP07,Bob Smith,Latin America,Brianfort Territory,Hardware,CUST0116,Small,193455.62,0.092,17797.92,229048.01,0.0,Q1,2024,Closed Lost,,Omitted
117,2025-02-12,REP08,Bob Smith,EMEA,South Caroline Territory,Software,CUST0117,Large,289108.26,0.065,18792.04,278859.09,89.9,Q3,2025,Closed Won,153,Upside
118,2024-07-07,REP09,Bob Smith,South Asia,South Courtneyhaven Territory,Software,CUST0118,Large,474772.09,0.042,19940.43,585518.93,18.2,Q3,2024,Proposal,,Commit
119,2024-01-15,REP10,Jack Taylor,South Asia,Robinberg Territory,Software,CUST0119,Enterprise,284776.32,0.024,6834.63,391367.64,116.4,Q4,2024,Closed Won,130,Commit
120,2025-07-10,REP01,Bob Smith,South Asia,Sanchezstad Territory,Services,CUST0120,Medium,328537.99,0.082,26940.12,330668.94,0.0,Q4,2025,Qualification,,Upside
121,2024-08-17,REP02,Charlie Brown,South Asia,Jonathanburgh Territory,Hardware,CUST0121,Medium,88624.22,0.031,2747.35,99352.91,72.7,Q4,2024,Negotiation,,Omitted
122,2025-09-15,REP03,Eve Davis,North America,Kyleborough Territory,Software,CUST0122,Small,188479.06,0.038,7162.2,230765.53,0.0,Q2,2025,Prospecting,,Omitted
123,2024-07-22,REP04,Diana Prince,South Asia,Port Kristen Territory,Software,CUST0123,Large,478299.69,0.064,30611.18,531255.39,0.0,Q2,2024,Prospecting,,Commit
124,2025-11-08,REP05,Jack Taylor,Latin America,South Philip Territory,Cloud Platform,CUST0124,Large,133465.29,0.052,6940.2,173603.73,121.3,Q1,2025,Closed Won,12,Commit
125,2025-11-23,REP06,Jack Taylor,Latin America,Sotoport Territory,Hardware,CUST0125,Large,245026.43,0.043,10536.14,199593.48,0.0,Q1,2025,Prospecting,,Upside
126,2024-06-24,REP07,Iris Chen,EMEA,South David Territory,Cloud Platform,CUST0126,Small,41707.57,0.09,3753.68,43559.31,50.0,Q2,2024,Negotiation,,Commit
127,2024-05-15,REP08,Iris Chen,Latin America,North Amy Territory,Hardware,CUST0127,Medium,251544.88,0.089,22387.49,258701.39,0.0,Q1,2024,Qualification,,Upside
128,2024-05-20,REP09,Charlie Brown,South Asia,Port Heather Territory,Cloud Platform,CUST0128,Small,121710.44,0.063,7667.76,148655.92,0.0,Q3,2024,Prospecting,,Upside
129,2025-10-08,REP10,Iris Chen,South Asia,Andrewtown Territory,Software,CUST0129,Small,416930.62,0.061,25432.77,493566.82,113.9,Q2,2025,Closed Won,157,Pipeline
130,2025-06-10,REP01,Henry Wilson,Latin America,South Markburgh Territory,Cloud Platform,CUST0130,Large,330553.58,0.033,10908.27,323736.36,61.6,Q3,2025,Negotiation,,Omitted
131,2024-10-10,REP02,Henry Wilson,Latin America,North Shirley Territory,Hardware,CUST0131,Enterprise,324642.69,0.058,18829.28,331451.35,54.7,Q4,2024,Negotiation,,Best Case
132,2025-04-13,REP03,Grace Lee,APAC,Lake Christopher Territory,Consulting,CUST0132,Enterprise,94958.16,0.047,4463.03,88819.63,122.5,Q4,2025,Closed Won,10,Pipeline
133,2024-12-07,REP04,Iris Chen,North America,Lake Deborah Territory,Software,CUST0133,Medium,70712.2,0.084,5939.82,94638.41,0.0,Q1,2024,Prospecting,,Pipeline
134,2024-03-31,REP05,Frank Miller,Latin America,Olsenfurt Territory,Consulting,CUST0134,Large,352582.02,0.095,33495.29,329954.95,0.0,Q2,2024,Prospecting,,Omitted
135,2024-12-22,REP06,Bob Smith,EMEA,Kellyberg Territory,Consulting,CUST0135,Enterprise,328200.18,0.02,6564.0,381003.52,96.1,Q1,2024,Closed Won,41,Pipeline
136,2025-08-13,REP07,Jack Taylor,APAC,South Jameston Territory,Software,CUST0136,Large,131779.01,0.024,3162.7,172697.49,96.7,Q3,2025,Closed Won,57,Omitted
137,2024-05-08,REP08,Jack Taylor,South Asia,Lewischester Territory,Consulting,CUST0137,Medium,106573.16,0.056,5968.1,81441.27,0.0,Q4,2024,Qualification,,Commit
138,2025-09-14,REP09,Alice Johnson,South Asia,Katietown Territory,Software,CUST0138,Medium,26520.81,0.071,1882.98,30112.41,118.1,Q4,2025,Closed Won,173,Upside
139,2024-10-19,REP10,Alice Johnson,APAC,Lake Michaelborough Territory,Consulting,CUST0139,Large,145330.87,0.031,4505.26,140829.49,34.4,Q4,2024,Proposal,,Omitted
140,2024-02-13,REP01,Bob Smith,South Asia,South Brittanystad Territory,Hardware,CUST0140,Small,89839.36,0.085,7636.35,107403.63,55.4,Q3,2024,Negotiation,,Omitted
141,2025-03-25,REP02,Charlie Brown,EMEA,New Michelle Territory,Cloud Platform,CUST0141,Large,89238.6,0.055,4908.12,120225.12,73.2,Q2,2025,Negotiation,,Commit
142,2024-01-15,REP03,Alice Johnson,Latin America,Mcphersonstad Territory,Cloud Platform,CUST0142,Medium,296784.79,0.09,26710.63,254013.89,0.0,Q4,2024,Qualification,,Omitted
143,2025-03-19,REP04,Henry Wilson,Latin America,Rodriguezstad Territory,Services,CUST0143,Small,411685.9,0.086,35404.99,321746.01,23.4,Q1,2025,Proposal,,Omitted
144,2024-07-19,REP05,Grace Lee,EMEA,East Michael Territory,Software,CUST0144,Small,461094.26,0.036,16599.39,324356.69,100.4,Q1,2024,Closed Won,86,Best Case
145,2024-06-27,REP06,Iris Chen,North America,Whiteburgh Territory,Consulting,CUST0145,Large,86433.02,0.032,2765.86,64288.55,30.2,Q4,2024,Proposal,,Upside
146,2024-05-28,REP07,Jack Taylor,EMEA,Traceyside Territory,Consulting,CUST0146,Small,42834.91,0.087,3726.64,32657.28,0.0,Q4,2024,Closed Lost,,Omitted
147,2024-03-03,REP08,Alice Johnson,South Asia,Colemanburgh Territory,Consulting,CUST0147,Medium,305019.74,0.033,10065.65,420096.73,134.7,Q4,2024,Closed Won,179,Best Case
148,2025-03-30,REP09,Bob Smith,APAC,South James Territory,Services,CUST0148,Medium,307301.53,0.044,13521.27,374516.15,23.7,Q1,2025,Proposal,,Omitted
149,2024-02-05,REP10,Frank Miller,North America,Henryshire Territory,Cloud Platform,CUST0149,Small,496743.64,0.088,43713.44,499194.81,57.7,Q4,2024,Negotiation,,Best Case
150,2024-12-20,REP01,Charlie Brown,APAC,Veronicaport Territory,Consulting,CUST0150,Enterprise,56580.8,0.08,4526.46,52310.43,117.9,Q1,2024,Closed Won,37,Commit
151,2024-03-24,REP02,Frank Miller,Latin America,East Williamside Territory,Consulting,CUST0151,Medium,369574.97,0.059,21804.92,539427.33,50.3,Q3,2024,Negotiation,,Best Case
